year,state,governor,party,male_officer,male_civilian,female_officer,female_civilian,index_total,index_per100k,violent_total,violent_per100k,property_total,property_per100k,murder_total,murder_per100k,forcible_rape_total,forcible_rape_per100k,robbery_total,robbery_per100k,aggravated_assault_total,aggravated_assault_per100k,burglary_total,burglary_per100k,larceny_theft_total,larceny_theft_per100k,vehicle_theft_total,vehicle_theft_per100k,total_agencies,participation_agencies,participating_agencies_pct,nibrs_participating_agencies,nibrs_participating_agencies_pct,covered_agencies,covered_pct,nibrs_population,pcpi,unemp,population,Black,Other,White,Female,Male,oldest_year,oldest_pop,most_recent_year,most_recent_pop,annual_avg_pop,max_pop_year,max_pop,min_pop_year,min_pop,max_annual_pctg_change_year,max_annual_pctg_change_pop,min_annual_pctg_change_year,min_annual_pctg_change_pop,avg_pctg_change_pop,oldest_per_capita_year,oldest_per_capita_pop,most_recent_per_capita_year,most_recent_per_capita_pop,min_per_capita_year,min_per_capita_pop,max_per_capita_year,max_per_capita_pop,avg_per_capita_pop,1940_net,1940_percapita,2016_net,2016_percapita,year_highest_pctg_change,pct_change,annual_avg_net,annual_avg_net_change,peak_year_net,peak_year_net_pop,peak_year_per_capita,peak_year_per_capita_pop,peak_year_pctg_annual_change,peak_year_pctg_annual_change_pop,Sheet4_pctg,intergovernmental.revenue,Intergovernmental.Revenue.annual.%.change,IGR.from.fed,IGR.from.fed.annual.%.change,total.revenue,IGR.from.fed./.total.revenue,IGR./.total.revenue,total.expenditure,total.public.safety.expenditure,total.public.safety.expenditure./.total.expenditure,police.protection,Total.Corrections.Expenditures,total.corrections.expenditures./.total.expenditures,total.corrections.expenditures./.total.public.safety.expenditure,Total.Judicial.Expenditures,Total.Legislative.Expenditure,general.pop,pop.raw.data,census.population,personal.income,Prison.pop,contrasting.sources,Pris.pop.avg.source,constr.Prison.pop,const.prison.pop./.general.population,(const prison pop / general pop) *100000,annual.pct.change,census.general.population,const.prison.pop.net,average1940_(const prison pop / general pop) *100000,average1940_annual.pct.change,average1940_census.general.population,average1940_const.prison.pop.net,age_00_17,age_18_20,age_22_30,age_31_40,age_41_50,age_51_60,age_61_85
1945-01-01,AL,Chauncey Sparks,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,799,NA,2775000,NA,NA,NA,NA,NA,1940,6466,2016,28883,12826,2012,32431,1977,2921,1981,0.5012,2004,-0.0726,0.0274,1940,0.0023,2016,0.0059,1975-1977,8e-4,2009; 2011-2013,0.0067,0.0031,6466,0.00226572934973638,28883,0.0059,1981,0.5012,12826,0.0274,2012,32431,2009; 2011-2013,0.0067,1981,0.5012,0.00594233774196104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2775,2775000,NA,NA,NA,NA,5626,NA,202.73873873873873,-0.028324697754749568,2775000,5626,309.05705728766645,0.02330968990888828,3790343.025974026,12826.292207792209,NA,NA,NA,NA,NA,NA,NA
1946-01-01,AL,Chauncey Sparks,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,763,NA,2911000,NA,NA,NA,NA,NA,1940,6466,2016,28883,12826,2012,32431,1977,2921,1981,0.5012,2004,-0.0726,0.0274,1940,0.0023,2016,0.0059,1975-1977,8e-4,2009; 2011-2013,0.0067,0.0031,6466,0.00226572934973638,28883,0.0059,1981,0.5012,12826,0.0274,2012,32431,2009; 2011-2013,0.0067,1981,0.5012,0.00594233774196104,13249,-0.11366069039336366,12546,-0.14150814287669358,137816,0.09103442270853893,0.09613542694607302,112520,3240,0.028794880910060435,NA,NA,NA,NA,NA,NA,2911,2911,2911000,2176,NA,NA,NA,5462,NA,187.6331157677774,-0.02915037326697476,2911000,5462,309.05705728766645,0.02330968990888828,3790343.025974026,12826.292207792209,NA,NA,NA,NA,NA,NA,NA
1947-01-01,AL,James Elisha Folsom,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,809,NA,2942000,NA,NA,NA,NA,NA,1940,6466,2016,28883,12826,2012,32431,1977,2921,1981,0.5012,2004,-0.0726,0.0274,1940,0.0023,2016,0.0059,1975-1977,8e-4,2009; 2011-2013,0.0067,0.0031,6466,0.00226572934973638,28883,0.0059,1981,0.5012,12826,0.0274,2012,32431,2009; 2011-2013,0.0067,1981,0.5012,0.00594233774196104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2942,2942000,NA,NA,NA,NA,5298,NA,180.08157715839565,-0.03002563163676309,2942000,5298,309.05705728766645,0.02330968990888828,3790343.025974026,12826.292207792209,NA,NA,NA,NA,NA,NA,NA
1948-01-01,AL,James Elisha Folsom,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,881,NA,2969000,NA,NA,NA,NA,NA,1940,6466,2016,28883,12826,2012,32431,1977,2921,1981,0.5012,2004,-0.0726,0.0274,1940,0.0023,2016,0.0059,1975-1977,8e-4,2009; 2011-2013,0.0067,0.0031,6466,0.00226572934973638,28883,0.0059,1981,0.5012,12826,0.0274,2012,32431,2009; 2011-2013,0.0067,1981,0.5012,0.00594233774196104,35624,1.6888067023926334,32448,1.5863223338115735,203650,0.15933218757672477,0.17492757181438742,190844,4201,0.022012743392509065,NA,NA,NA,NA,NA,NA,2969,2969,2969000,2590,NA,NA,NA,5134,NA,172.92017514314583,-0.03095507738769347,2969000,5134,309.05705728766645,0.02330968990888828,3790343.025974026,12826.292207792209,NA,NA,NA,NA,NA,NA,NA
1949-01-01,AL,James Elisha Folsom,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,838,NA,3000000,NA,NA,NA,NA,NA,1940,6466,2016,28883,12826,2012,32431,1977,2921,1981,0.5012,2004,-0.0726,0.0274,1940,0.0023,2016,0.0059,1975-1977,8e-4,2009; 2011-2013,0.0067,0.0031,6466,0.00226572934973638,28883,0.0059,1981,0.5012,12826,0.0274,2012,32431,2009; 2011-2013,0.0067,1981,0.5012,0.00594233774196104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,3000000,NA,NA,NA,NA,4968.5,NA,165.61666666666667,-0.03223607323724192,3000000,4968.5,309.05705728766645,0.02330968990888828,3790343.025974026,12826.292207792209,NA,NA,NA,NA,NA,NA,NA
1950-01-01,AL,James Elisha Folsom,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,919,NA,3058000,NA,NA,NA,NA,NA,1940,6466,2016,28883,12826,2012,32431,1977,2921,1981,0.5012,2004,-0.0726,0.0274,1940,0.0023,2016,0.0059,1975-1977,8e-4,2009; 2011-2013,0.0067,0.0031,6466,0.00226572934973638,28883,0.0059,1981,0.5012,12826,0.0274,2012,32431,2009; 2011-2013,0.0067,1981,0.5012,0.00594233774196104,46709,0.31116662923871546,44296,0.365138067061144,240650,0.18406814876376482,0.19409515894452525,236178,4363,0.018473354842534023,NA,NA,NA,NA,NA,NA,3058,3058,3058000,2763,4803,NA,4803,4803,NA,157.06344015696533,-0.06447214647448384,3058000,4803,309.05705728766645,0.02330968990888828,3790343.025974026,12826.292207792209,NA,NA,NA,NA,NA,NA,NA
1951-01-01,AL,Seth Gordon Persons,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1071,NA,3059000,NA,NA,NA,NA,NA,1940,6466,2016,28883,12826,2012,32431,1977,2921,1981,0.5012,2004,-0.0726,0.0274,1940,0.0023,2016,0.0059,1975-1977,8e-4,2009; 2011-2013,0.0067,0.0031,6466,0.00226572934973638,28883,0.0059,1981,0.5012,12826,0.0274,2012,32431,2009; 2011-2013,0.0067,1981,0.5012,0.00594233774196104,54479,0.1663490976043161,51239,0.15674101499006682,245272,0.2089068462767866,0.22211667047196582,247216,3945,0.015957705002912433,1243,2162,0.00874538864798395,0.5480354879594423,894,276,3059,3059,3059000,3181,NA,NA,NA,4875,NA,159.36580581889507,0.014990630855715179,3059000,4875,309.05705728766645,0.02330968990888828,3790343.025974026,12826.292207792209,NA,NA,NA,NA,NA,NA,NA
1952-01-01,AL,Seth Gordon Persons,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137,NA,3068000,NA,NA,NA,NA,NA,1940,6466,2016,28883,12826,2012,32431,1977,2921,1981,0.5012,2004,-0.0726,0.0274,1940,0.0023,2016,0.0059,1975-1977,8e-4,2009; 2011-2013,0.0067,0.0031,6466,0.00226572934973638,28883,0.0059,1981,0.5012,12826,0.0274,2012,32431,2009; 2011-2013,0.0067,1981,0.5012,0.00594233774196104,56877,0.04401696066374199,53943,0.052772302347820994,270246,0.19960702471081904,0.2104637996492085,256397,4146,0.016170236001201262,1195,2458,0.009586695632164183,0.5928605885190545,940,939,3068,3068,3068000,3380,NA,NA,NA,4947,NA,161.245110821382,0.014769230769230769,3068000,4947,309.05705728766645,0.02330968990888828,3790343.025974026,12826.292207792209,NA,NA,NA,NA,NA,NA,NA
1953-01-01,AL,Seth Gordon Persons,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1193,NA,3053000,NA,NA,NA,NA,NA,1940,6466,2016,28883,12826,2012,32431,1977,2921,1981,0.5012,2004,-0.0726,0.0274,1940,0.0023,2016,0.0059,1975-1977,8e-4,2009; 2011-2013,0.0067,0.0031,6466,0.00226572934973638,28883,0.0059,1981,0.5012,12826,0.0274,2012,32431,2009; 2011-2013,0.0067,1981,0.5012,0.00594233774196104,61262,0.07709619002408706,56398,0.045511002354336985,307711,0.18328236559629002,0.1990894053186269,283087,4580,0.016178771896978666,1784,2407,0.008502686453281148,0.5255458515283843,1141,236,3053,3053,3053000,3528,NA,NA,NA,5019,NA,164.3956763838847,0.014554275318374773,3053000,5019,309.05705728766645,0.02330968990888828,3790343.025974026,12826.292207792209,NA,NA,NA,NA,NA,NA,NA
1954-01-01,AL,Seth Gordon Persons,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1167,NA,3014000,NA,NA,NA,NA,NA,1940,6466,2016,28883,12826,2012,32431,1977,2921,1981,0.5012,2004,-0.0726,0.0274,1940,0.0023,2016,0.0059,1975-1977,8e-4,2009; 2011-2013,0.0067,0.0031,6466,0.00226572934973638,28883,0.0059,1981,0.5012,12826,0.0274,2012,32431,2009; 2011-2013,0.0067,1981,0.5012,0.00594233774196104,60432,-0.013548366034409585,55065,-0.023635589914535977,306298,0.1797759045112929,0.19729805614140478,296496,5434,0.018327397334196752,2228,2550,0.008600453294479522,0.4692675745307324,1096,663,3014,3014,3014000,3410,NA,NA,NA,5091,NA,168.91174518911745,0.01434548714883443,3014000,5091,309.05705728766645,0.02330968990888828,3790343.025974026,12826.292207792209,NA,NA,NA,NA,NA,NA,NA
