year,state,Black,Other,White,Female,Male,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
1969-01-01,AK,8783,52817,232690,132641,161649,6860,6225,5756,6116,6353,7173,7441,7758,7351,7533,7161,6867,6799,6533,6062,5749,5301,5079,4676,5148,7219,8437,7392,7274,5295,5320,5335,5570,4902,4636,4772,4254,4302,4136,4105,4257,4094,4093,3871,3843,3864,3514,3361,3255,3183,3232,3069,2903,2880,2769,2774,2313,2263,2078,1978,1958,1707,1586,1556,1469,1253,1101,1012,911,821,778,654,563,514,461,338,300,281,254,278,204,212,144,151,141,136,122,116,91,101,593
1969-01-01,AL,900087,4992,2506691,1765316,1646454,61531,59609,56919,58861,62039,67877,70354,71875,71680,73561,75406,72395,73646,74715,74691,72384,70135,67994,65421,61739,57429,53930,52840,54457,41126,44211,44169,46880,40735,39119,40850,37147,37309,36206,36945,37527,36972,37538,37306,37658,40446,38497,39864,39698,39701,39010,38089,39232,39201,37587,40662,36654,32704,34354,33370,34730,33922,34463,32307,32673,33083,29543,29453,27741,28090,26738,24350,23543,20617,22562,20181,17280,16133,14926,14624,13683,12301,11620,10151,9309,8879,7946,6294,5651,5024,21698
1969-01-01,AR,352493,3514,1537761,976466,917302,32213,30973,29557,30301,31779,36389,37858,39139,37919,38973,39379,38037,38426,39207,38989,38423,37691,35967,34695,32240,28448,27929,26922,28808,21469,23442,22935,24253,22085,20777,21156,18930,19100,18108,18883,19276,19170,19228,18580,18917,20464,19458,20202,20665,21069,21115,20561,20600,21001,20956,22781,21163,19983,19329,19673,20428,20182,20577,20117,20016,20583,19280,19827,18329,18690,17873,17077,16303,15119,15487,14133,12195,11717,11135,11244,10709,9552,9410,8313,7262,6800,6085,4820,4186,3691,17037
1969-01-01,AZ,51855,101253,1549837,866795,836150,32148,30019,29409,29810,30897,34791,36662,37907,38332,39552,38957,37304,37732,37593,36428,34871,34129,32694,31602,30895,28141,27365,27108,28566,21261,22488,22683,23784,21150,20064,20408,19229,18949,18428,18568,18823,18686,18823,18845,19403,20324,19218,19224,19124,19223,19884,19706,19715,19816,19319,18856,17946,17006,16368,16446,15950,15490,15470,14937,14721,14798,14010,13840,13268,12932,12521,12153,11593,10801,10555,10315,9369,8581,7997,7496,6814,6052,5648,4821,4176,3924,3264,2633,2223,1855,8059
1969-01-01,CA,1375185,641571,17729149,10033973,9711932,343239,327994,314005,322185,336048,367815,390167,398987,400979,413047,399863,385624,389754,390910,381201,368761,362612,359083,346020,352281,337907,331032,336312,368575,280648,296951,294302,311677,274340,259981,259690,240358,237162,227026,227233,232020,227243,227258,227630,234787,248689,238804,240472,242275,249660,253981,252716,249636,252591,246851,236174,220331,210036,200482,197876,197699,191609,184282,176897,169674,169184,156855,150981,142937,137400,132582,126198,120784,110894,113531,111779,100715,91925,88133,84786,79008,72097,68526,60222,55375,54482,47073,39028,33298,29832,124838
1969-01-01,CO,63067,20766,2069320,1092849,1060304,38480,37000,34973,35121,36595,41415,44565,46510,47336,48955,47488,45950,45837,46014,44830,42680,42122,40854,42414,43021,40101,41180,37817,40052,29664,30437,30674,31842,28619,27113,27285,25404,25307,24719,24489,25105,24584,24929,25139,25366,26312,25805,25357,25322,25154,24971,25163,24753,25108,23930,23224,22363,21245,20195,19621,19111,18804,18266,17710,17289,17173,15995,15559,14600,14171,13035,12990,12146,11103,11287,11382,10381,9409,9114,8856,8368,8010,7327,6588,6497,5601,5061,4375,4038,3712,14686
1969-01-01,CT,178227,9937,2826451,1552710,1461905,50891,49990,49084,51945,55667,58789,60780,60672,61124,63320,61103,60944,60924,59783,58903,56553,54581,53046,49134,45850,43599,42655,44210,49888,38486,40963,42783,47032,39212,36216,35046,33234,32982,31562,32183,32715,32253,33270,33874,35881,37899,37789,38414,38435,39174,39909,39531,39164,40201,39197,39248,38013,36968,35461,34317,33627,32220,30805,29740,28202,27843,25895,24552,23403,21926,21153,20008,18787,17396,17068,17376,16241,15068,14748,14491,13588,12357,11466,10237,8986,8604,7955,6363,5355,4826,19482
1969-01-01,DC,540837,7240,212214,407101,353190,12734,11850,11916,12113,12911,13001,13581,13358,13018,13456,13685,12987,12879,12663,12777,12176,11871,11609,13964,15942,15983,16056,16261,16291,13332,14123,13520,14101,12164,11594,11058,9609,9002,8553,8645,8843,8436,8754,8139,8666,9230,8622,8368,8556,8612,8803,8681,9197,8711,8724,9089,8145,7997,7494,7603,8076,7598,7644,7314,7616,7360,6563,6728,6116,6083,5549,5113,5072,4374,4943,4762,4138,3858,3505,3514,3147,2688,2524,2270,2058,2047,1696,1372,1205,1067,4838
1969-01-01,DE,76165,2288,459358,275435,262376,9659,9342,9294,9781,10244,11075,11732,11874,11943,12262,11889,11784,11645,11735,11284,10577,10092,9770,9711,9217,8124,8100,8415,9196,6663,7428,7647,8311,7298,6897,6695,6343,6260,5919,6059,6355,6396,6414,6441,6653,6660,6680,6646,6585,6695,6723,6808,6575,6700,6583,6447,6088,5840,5524,5208,5061,4864,4714,4495,4455,4297,4063,3914,3581,3519,3263,3024,2918,2625,2878,2737,2472,2315,2219,2150,1983,1703,1727,1450,1306,1268,1179,870,802,685,2988
1969-01-01,FL,1023210,19463,5525277,3399352,3168598,100974,96384,92664,97101,102171,115110,121129,124237,125210,129435,128986,124289,125703,126172,124700,118695,115081,110747,106237,103906,96056,92365,92807,99511,75067,80328,79159,83071,73065,71361,73577,67998,68584,66995,68153,69032,68306,70377,70121,72080,78129,76866,77593,77947,78965,78310,77667,77362,78646,76299,77528,72851,69661,67966,66740,68048,67068,67851,65891,66359,70490,67654,68649,69095,70078,69610,69137,68861,63459,65044,64360,58288,53547,51465,48277,43930,39294,36123,31014,27362,24434,21106,16969,14351,12538,48124
