date,population,state
1950-01-01,135,AK
1951-01-01,158,AK
1952-01-01,189,AK
1953-01-01,205,AK
1954-01-01,215,AK
1955-01-01,222,AK
1956-01-01,224,AK
1957-01-01,231,AK
1958-01-01,224,AK
1959-01-01,224,AK
1960-01-01,229,AK
1961-01-01,238,AK
1962-01-01,246,AK
1963-01-01,256,AK
1964-01-01,263,AK
1965-01-01,271,AK
1966-01-01,271,AK
1967-01-01,278,AK
1968-01-01,285,AK
1969-01-01,296,AK
1970-01-01,302.583,AK
1971-01-01,315.51,AK
1972-01-01,324.464,AK
1973-01-01,330.543,AK
1974-01-01,341.063,AK
1975-01-01,376.17,AK
1976-01-01,400.969,AK
1977-01-01,403.436,AK
1978-01-01,404.766,AK
1979-01-01,402.753,AK
1980-01-01,405.315,AK
1981-01-01,418.491,AK
1982-01-01,449.606,AK
1983-01-01,488.417,AK
1984-01-01,513.702,AK
1985-01-01,532.495,AK
1986-01-01,544.268,AK
1987-01-01,539.309,AK
1988-01-01,541.983,AK
1989-01-01,547.159,AK
1990-01-01,553.12,AK
1991-01-01,569.273,AK
1992-01-01,587.073,AK
1993-01-01,596.993,AK
1994-01-01,600.624,AK
1995-01-01,601.345,AK
1996-01-01,604.918,AK
1997-01-01,608.846,AK
1998-01-01,615.205,AK
1999-01-01,619.5,AK
2000-01-01,627.963,AK
2001-01-01,633.714,AK
2002-01-01,642.337,AK
2003-01-01,648.414,AK
2004-01-01,659.286,AK
2005-01-01,666.946,AK
2006-01-01,675.302,AK
2007-01-01,680.3,AK
2008-01-01,687.455,AK
2009-01-01,698.895,AK
2010-01-01,713.91,AK
2011-01-01,722.128,AK
2012-01-01,730.443,AK
2013-01-01,737.068,AK
2014-01-01,736.283,AK
2015-01-01,737.498,AK
2016-01-01,741.456,AK
2017-01-01,739.7,AK
2018-01-01,735.139,AK
2019-01-01,731.545,AK
1900-01-01,1830,AL
1901-01-01,1907,AL
1902-01-01,1935,AL
1903-01-01,1957,AL
1904-01-01,1978,AL
1905-01-01,2012,AL
1906-01-01,2045,AL
1907-01-01,2058,AL
1908-01-01,2070,AL
1909-01-01,2108,AL
1910-01-01,2150,AL
1911-01-01,2185,AL
1912-01-01,2217,AL
1913-01-01,2279,AL
1914-01-01,2336,AL
1915-01-01,2345,AL
1916-01-01,2359,AL
1917-01-01,2361,AL
1918-01-01,2343,AL
1919-01-01,2337,AL
1920-01-01,2359,AL
1921-01-01,2402,AL
1922-01-01,2434,AL
1923-01-01,2464,AL
1924-01-01,2501,AL
1925-01-01,2534,AL
1926-01-01,2567,AL
1927-01-01,2609,AL
1928-01-01,2640,AL
1929-01-01,2644,AL
1930-01-01,2647,AL
1931-01-01,2649,AL
1932-01-01,2653,AL
1933-01-01,2661,AL
1934-01-01,2685,AL
1935-01-01,2719,AL
1936-01-01,2743,AL
1937-01-01,2762,AL
1938-01-01,2787,AL
1939-01-01,2814,AL
1940-01-01,2845,AL
1941-01-01,2902,AL
1942-01-01,2941,AL
1943-01-01,2902,AL
1944-01-01,2802,AL
1945-01-01,2775,AL
1946-01-01,2911,AL
1947-01-01,2942,AL
1948-01-01,2969,AL
1949-01-01,3000,AL
1950-01-01,3058,AL
1951-01-01,3059,AL
1952-01-01,3068,AL
1953-01-01,3053,AL
1954-01-01,3014,AL
1955-01-01,3050,AL
1956-01-01,3071,AL
1957-01-01,3109,AL
1958-01-01,3163,AL
1959-01-01,3204,AL
1960-01-01,3274,AL
1961-01-01,3316,AL
1962-01-01,3323,AL
1963-01-01,3358,AL
1964-01-01,3395,AL
1965-01-01,3443,AL
1966-01-01,3464,AL
1967-01-01,3458,AL
1968-01-01,3446,AL
1969-01-01,3440,AL
1970-01-01,3444.354,AL
1971-01-01,3497.076,AL
1972-01-01,3539.4,AL
1973-01-01,3579.78,AL
1974-01-01,3626.499,AL
1975-01-01,3678.814,AL
1976-01-01,3735.139,AL
1977-01-01,3780.403,AL
1978-01-01,3831.836,AL
1979-01-01,3866.248,AL
1980-01-01,3900.368,AL
1981-01-01,3918.531,AL
1982-01-01,3925.266,AL
1983-01-01,3934.102,AL
1984-01-01,3951.82,AL
1985-01-01,3972.523,AL
1986-01-01,3991.569,AL
1987-01-01,4015.264,AL
1988-01-01,4023.844,AL
1989-01-01,4030.222,AL
1990-01-01,4048.508,AL
1991-01-01,4091.025,AL
1992-01-01,4139.269,AL
1993-01-01,4193.114,AL
1994-01-01,4232.965,AL
1995-01-01,4262.731,AL
1996-01-01,4290.403,AL
1997-01-01,4320.281,AL
1998-01-01,4351.037,AL
1999-01-01,4369.862,AL
2000-01-01,4452.173,AL
2001-01-01,4467.634,AL
2002-01-01,4480.089,AL
2003-01-01,4503.491,AL
2004-01-01,4530.729,AL
2005-01-01,4569.805,AL
2006-01-01,4628.981,AL
2007-01-01,4672.84,AL
2008-01-01,4718.206,AL
2009-01-01,4757.938,AL
2010-01-01,4785.437,AL
2011-01-01,4799.069,AL
2012-01-01,4815.588,AL
2013-01-01,4830.081,AL
2014-01-01,4841.799,AL
2015-01-01,4852.347,AL
2016-01-01,4863.525,AL
2017-01-01,4874.486,AL
2018-01-01,4887.681,AL
2019-01-01,4903.185,AL
1900-01-01,1314,AR
1901-01-01,1341,AR
1902-01-01,1360,AR
1903-01-01,1384,AR
1904-01-01,1419,AR
1905-01-01,1447,AR
1906-01-01,1465,AR
1907-01-01,1484,AR
1908-01-01,1513,AR
1909-01-01,1545,AR
1910-01-01,1583,AR
1911-01-01,1610,AR
1912-01-01,1636,AR
1913-01-01,1664,AR
1914-01-01,1688,AR
1915-01-01,1702,AR
1916-01-01,1719,AR
1917-01-01,1737,AR
1918-01-01,1749,AR
1919-01-01,1742,AR
1920-01-01,1756,AR
1921-01-01,1769,AR
1922-01-01,1772,AR
1923-01-01,1784,AR
1924-01-01,1800,AR
1925-01-01,1812,AR
1926-01-01,1826,AR
1927-01-01,1840,AR
1928-01-01,1847,AR
1929-01-01,1852,AR
1930-01-01,1859,AR
1931-01-01,1848,AR
1932-01-01,1836,AR
1933-01-01,1854,AR
1934-01-01,1878,AR
1935-01-01,1890,AR
1936-01-01,1892,AR
1937-01-01,1903,AR
1938-01-01,1928,AR
1939-01-01,1948,AR
1940-01-01,1955,AR
1941-01-01,1969,AR
1942-01-01,1977,AR
1943-01-01,1843,AR
1944-01-01,1768,AR
1945-01-01,1762,AR
1946-01-01,1797,AR
1947-01-01,1836,AR
1948-01-01,1825,AR
1949-01-01,1844,AR
1950-01-01,1908,AR
1951-01-01,1901,AR
1952-01-01,1838,AR
1953-01-01,1780,AR
1954-01-01,1734,AR
1955-01-01,1725,AR
1956-01-01,1704,AR
1957-01-01,1733,AR
1958-01-01,1726,AR
1959-01-01,1756,AR
1960-01-01,1789,AR
1961-01-01,1806,AR
1962-01-01,1853,AR
1963-01-01,1875,AR
1964-01-01,1897,AR
1965-01-01,1894,AR
1966-01-01,1899,AR
1967-01-01,1901,AR
1968-01-01,1902,AR
1969-01-01,1913,AR
1970-01-01,1923.322,AR
1971-01-01,1972.312,AR
1972-01-01,2018.638,AR
1973-01-01,2059.256,AR
1974-01-01,2101.403,AR
1975-01-01,2159.526,AR
1976-01-01,2170.161,AR
1977-01-01,2209.01,AR
1978-01-01,2243.127,AR
1979-01-01,2271.333,AR
1980-01-01,2288.738,AR
1981-01-01,2293.201,AR
1982-01-01,2294.257,AR
1983-01-01,2305.761,AR
1984-01-01,2319.768,AR
1985-01-01,2327.046,AR
1986-01-01,2331.984,AR
1987-01-01,2342.355,AR
1988-01-01,2342.656,AR
1989-01-01,2346.358,AR
1990-01-01,2354.343,AR
1991-01-01,2370.666,AR
1992-01-01,2394.098,AR
1993-01-01,2423.743,AR
1994-01-01,2450.605,AR
1995-01-01,2480.121,AR
1996-01-01,2504.858,AR
1997-01-01,2524.007,AR
1998-01-01,2538.202,AR
1999-01-01,2551.373,AR
2000-01-01,2678.588,AR
2001-01-01,2691.571,AR
2002-01-01,2705.927,AR
2003-01-01,2724.816,AR
2004-01-01,2749.686,AR
2005-01-01,2781.097,AR
2006-01-01,2821.761,AR
2007-01-01,2848.65,AR
2008-01-01,2874.554,AR
2009-01-01,2896.843,AR
2010-01-01,2921.964,AR
2011-01-01,2940.667,AR
2012-01-01,2952.164,AR
2013-01-01,2959.4,AR
2014-01-01,2967.392,AR
2015-01-01,2978.048,AR
2016-01-01,2989.918,AR
2017-01-01,3001.345,AR
2018-01-01,3009.733,AR
2019-01-01,3017.804,AR
1900-01-01,124,AZ
1901-01-01,131,AZ
1902-01-01,138,AZ
1903-01-01,144,AZ
1904-01-01,151,AZ
1905-01-01,158,AZ
1906-01-01,167,AZ
1907-01-01,176,AZ
1908-01-01,186,AZ
1909-01-01,196,AZ
1910-01-01,206,AZ
1911-01-01,212,AZ
1912-01-01,217,AZ
1913-01-01,236,AZ
1914-01-01,253,AZ
1915-01-01,263,AZ
1916-01-01,282,AZ
1917-01-01,311,AZ
1918-01-01,320,AZ
1919-01-01,329,AZ
1920-01-01,340,AZ
1921-01-01,351,AZ
1922-01-01,360,AZ
1923-01-01,371,AZ
1924-01-01,382,AZ
1925-01-01,393,AZ
1926-01-01,403,AZ
1927-01-01,414,AZ
1928-01-01,422,AZ
1929-01-01,430,AZ
1930-01-01,434,AZ
1931-01-01,429,AZ
1932-01-01,426,AZ
1933-01-01,426,AZ
1934-01-01,428,AZ
1935-01-01,434,AZ
1936-01-01,443,AZ
1937-01-01,453,AZ
1938-01-01,466,AZ
1939-01-01,484,AZ
1940-01-01,499,AZ
1941-01-01,490,AZ
1942-01-01,524,AZ
1943-01-01,692,AZ
1944-01-01,610,AZ
1945-01-01,594,AZ
1946-01-01,616,AZ
1947-01-01,653,AZ
1948-01-01,690,AZ
1949-01-01,714,AZ
1950-01-01,756,AZ
1951-01-01,785,AZ
1952-01-01,842,AZ
1953-01-01,894,AZ
1954-01-01,933,AZ
1955-01-01,987,AZ
1956-01-01,1053,AZ
1957-01-01,1125,AZ
1958-01-01,1193,AZ
1959-01-01,1261,AZ
1960-01-01,1321,AZ
1961-01-01,1407,AZ
1962-01-01,1471,AZ
1963-01-01,1521,AZ
1964-01-01,1556,AZ
1965-01-01,1584,AZ
1966-01-01,1614,AZ
1967-01-01,1646,AZ
1968-01-01,1682,AZ
1969-01-01,1737,AZ
1970-01-01,1775.399,AZ
1971-01-01,1895.814,AZ
1972-01-01,2008.291,AZ
1973-01-01,2124.438,AZ
1974-01-01,2223.196,AZ
1975-01-01,2284.847,AZ
1976-01-01,2346.157,AZ
1977-01-01,2425.197,AZ
1978-01-01,2515.316,AZ
1979-01-01,2635.571,AZ
1980-01-01,2737.774,AZ
1981-01-01,2810.107,AZ
1982-01-01,2889.861,AZ
1983-01-01,2968.925,AZ
1984-01-01,3067.135,AZ
1985-01-01,3183.538,AZ
1986-01-01,3308.262,AZ
1987-01-01,3437.103,AZ
1988-01-01,3535.183,AZ
1989-01-01,3622.185,AZ
1990-01-01,3679.056,AZ
1991-01-01,3762.394,AZ
1992-01-01,3867.333,AZ
