year,state,index_total,index_per100k,violent_total,violent_per100k,property_total,property_per100k,murder_total,murder_per100k,forcible_rape_total,forcible_rape_per100k,robbery_total,robbery_per100k,aggravated_assault_total,aggravated_assault_per100k,burglary_total,burglary_per100k,larceny_theft_total,larceny_theft_per100k,vehicle_theft_total,vehicle_theft_per100k
1960-01-01,AL,39920,1222,6097,186.6,33823,1035.4,406,12.4,281,86,898,27.5,4512,138.1,11626,355.9,19344,592.1,2853,87.3
1961-01-01,AL,38105,1154,5564,168.5,32541,985.5,427,12.9,252,76,630,19.1,4255,128.9,11205,339.3,18801,569.4,2535,76.8
1962-01-01,AL,41112,1224.3,5283,157.3,35829,1067,316,94,218,65,754,22.5,3995,119,11722,349.1,21306,634.5,2801,83.4
1963-01-01,AL,44636,1333.6,6115,182.7,38521,1150.9,340,10.2,192,57,828,24.7,4755,142.1,12614,376.9,22874,683.4,3033,90.6
1964-01-01,AL,53550,1571.8,7260,213.1,46290,1358.7,316,93,397,11.7,992,29.1,5555,163,15898,466.6,26713,784.1,3679,108
1965-01-01,AL,55131,1592.5,6916,199.8,48215,1392.7,395,11.4,367,10.6,992,28.7,5162,149.1,16398,473.7,28115,812.1,3702,106.9
1966-01-01,AL,61838,1758.3,8098,230.3,53740,1528,384,10.9,341,97,1124,32,6249,177.7,18551,527.5,30583,869.6,4606,131
1967-01-01,AL,65527,1851,8448,238.6,57079,1612.4,415,11.7,371,10.5,1167,33,6495,183.5,20227,571.4,31682,895,5170,146
1968-01-01,AL,71285,1999,8288,232.4,62997,1766.6,421,11.8,396,11.1,1462,41,6009,168.5,22403,628.2,34508,967.7,6086,170.7
1969-01-01,AL,75090,2126.6,8842,250.4,66248,1876.2,485,13.7,494,14,1448,41,6415,181.7,23559,667.2,36644,1037.8,6045,171.2
1970-01-01,AL,85399,2479.5,10185,295.7,75214,2183.8,404,11.7,637,18.5,1731,50.3,7413,215.2,26739,776.4,40779,1184,7696,223.5
1971-01-01,AL,86919,2498.4,10835,311.4,76084,2187,524,15.1,661,19,2005,57.6,7645,219.7,27547,791.8,40841,1173.9,7696,221.2
1972-01-01,AL,84047,2394.5,10994,313.2,73053,2081.3,496,14.1,660,18.8,2407,68.6,7431,211.7,27714,789.6,38493,1096.7,6846,195
1973-01-01,AL,91389,2582.3,12390,350.1,78999,2232.2,468,13.2,751,21.2,2809,79.4,8362,236.3,31754,897.3,39206,1107.8,8039,227.2
1974-01-01,AL,107314,3000.1,13338,372.9,93976,2627.2,536,15,811,22.7,3562,99.6,8429,235.6,37841,1057.9,46813,1308.7,9322,260.6
1975-01-01,AL,125497,3472.5,14201,392.9,111296,3079.6,577,16,738,20.4,4446,123,8440,233.5,42059,1163.8,59470,1645.5,9767,270.3
1976-01-01,AL,139573,3808.3,14248,388.8,125325,3419.5,553,15.1,794,21.7,3520,96,9381,256,42879,1170,72832,1987.2,9614,262.3
1977-01-01,AL,136995,3712.6,15293,414.4,121702,3298.2,524,14.2,929,25.2,3572,96.8,10268,278.3,41901,1135.5,69442,1881.9,10359,280.7
1978-01-01,AL,147389,3938.8,15682,419.1,131707,3519.7,499,13.3,954,25.5,3708,99.1,10521,281.2,46001,1229.3,74387,1987.9,11319,302.5
1979-01-01,AL,159950,4243.8,15578,413.3,144372,3830.5,496,13.2,1037,27.5,4127,109.5,9918,263.1,48517,1287.3,83791,2223.2,12064,320.1
1980-01-01,AL,190511,4933.6,17320,448.5,173191,4485.1,509,13.2,1158,30,5102,132.1,10551,273.2,58952,1526.7,102029,2642.2,12210,316.2
1981-01-01,AL,191834,4898.7,18423,470.5,173411,4428.3,465,11.9,1021,26.1,4952,126.5,11985,306.1,56811,1450.7,105471,2693.3,11129,284.2
1982-01-01,AL,182701,4633.6,17653,447.7,165048,4185.8,417,10.6,1026,26,4417,112,11793,299.1,49531,1256.2,104740,2656.4,10777,273.3
1983-01-01,AL,162361,4101.1,16471,416,145890,3685,364,92,931,23.5,3895,98.4,11281,284.9,42485,1073.1,94279,2381.4,9126,230.5
1984-01-01,AL,155691,3902,17204,431.2,138487,3470.9,374,94,1002,25.1,3833,96.1,11995,300.6,39970,1001.8,89198,2235.5,9319,233.6
1985-01-01,AL,158513,3942.1,18398,457.5,140115,3484.6,396,98,1079,26.8,4237,105.4,12686,315.5,41612,1034.9,88108,2191.2,10395,258.5
1986-01-01,AL,173807,4288.4,22616,558,151191,3730.3,409,10.1,1150,28.4,4523,111.6,16534,407.9,46974,1159,93396,2304.4,10821,267
1987-01-01,AL,181751,4451.4,22833,559.2,158918,3892.2,380,93,1137,27.8,4581,112.2,16735,409.9,48927,1198.3,99260,2431.1,10731,262.8
