year,state,governor,party
2018-01-01,AK,Bill Walker,Independent
2018-01-01,AZ,Doug Ducey,Republican
2018-01-01,AR,Asa Hutchinson,Republican
2018-01-01,CA,Edmund G. Brown,Democrat
2018-01-01,CO,John Hickenlooper,Democrat
2018-01-01,CT,Dannel Malloy,Democrat
2018-01-01,DE,John Carney,Democrat
2018-01-01,FL,Rick Scott,Republican
2018-01-01,GA,Nathan Deal,Republican
2018-01-01,HI,David Ige,Democrat
2018-01-01,ID,"C. L. ""Butch"" Otter",Republican
2018-01-01,IL,Bruce Rauner,Republican
2018-01-01,IN,Eric Holcomb,Republican
2018-01-01,IA,Kim Reynolds,Republican
2018-01-01,KS,Jeff Colyer,Republican
2018-01-01,KY,Matt Bevin,Republican
2018-01-01,LA,John Bel Edwards,Democrat
2018-01-01,ME,Paul LePage,Republican
2018-01-01,MD,Larry Hogan,Republican
2018-01-01,MA,Charlie Baker,Republican
2018-01-01,MI,Rick Snyder,Republican
2018-01-01,MN,Mark Dayton,Democrat
2018-01-01,MS,Phil Bryant,Republican
2018-01-01,MO,Eric Greitens,Republican
2018-01-01,MT,Steve Bullock,Democrat
2018-01-01,NE,Pete Ricketts,Republican
2018-01-01,NV,Brian Sandoval,Republican
2018-01-01,NH,Chris Sununu,Republican
2018-01-01,NJ,Phil Murphy,Democrat
2018-01-01,NM,Susana Martinez,Republican
2018-01-01,NY,Andrew Cuomo,Democrat
2018-01-01,NC,Roy Cooper,Democrat
2018-01-01,ND,Doug Burgum,Republican
2018-01-01,OH,John Kasich,Republican
2018-01-01,OK,Mary Fallin,Republican
2018-01-01,OR,Kate Brown,Democrat
2018-01-01,PA,Tom Wolf,Democrat
2018-01-01,RI,Gina Raimondo,Democrat
2018-01-01,SC,Henry McMaster,Republican
2018-01-01,SD,Dennis Daugaard,Republican
2018-01-01,TN,Bill Haslam,Republican
2018-01-01,TX,Greg Abbott,Republican
2018-01-01,UT,Gary Richard Herbert,Republican
2018-01-01,VT,Phil Scott,Republican
2018-01-01,VA,Ralph Northam,Democrat
2018-01-01,WA,Jay Inslee,Democrat
2018-01-01,WV,Jim Justice,Republican
