year,pcpi,state
1950-01-01,2899,AK
1951-01-01,3401,AK
1952-01-01,3255,AK
1953-01-01,3169,AK
1954-01-01,2927,AK
1955-01-01,2886,AK
1956-01-01,3022,AK
1957-01-01,2897,AK
1958-01-01,3001,AK
1959-01-01,3126,AK
1960-01-01,3521,AK
1961-01-01,3347,AK
1962-01-01,3378,AK
1963-01-01,3518,AK
1964-01-01,3835,AK
1965-01-01,4016,AK
1966-01-01,4276,AK
1967-01-01,4545,AK
1968-01-01,4790,AK
1969-01-01,5322,AK
1970-01-01,5911,AK
1971-01-01,6269,AK
1972-01-01,6636,AK
1973-01-01,7525,AK
1974-01-01,8827,AK
1975-01-01,11205,AK
1976-01-01,12447,AK
1977-01-01,12789,AK
1978-01-01,13018,AK
1979-01-01,13745,AK
1980-01-01,15507,AK
1981-01-01,17091,AK
1982-01-01,19424,AK
1983-01-01,19478,AK
1984-01-01,19701,AK
1985-01-01,20593,AK
1986-01-01,20331,AK
1987-01-01,19688,AK
1988-01-01,20420,AK
1989-01-01,22133,AK
1990-01-01,23213,AK
1991-01-01,23510,AK
1992-01-01,24240,AK
1993-01-01,25036,AK
1994-01-01,25713,AK
1995-01-01,26399,AK
1996-01-01,26953,AK
1997-01-01,28185,AK
1998-01-01,29220,AK
1999-01-01,29892,AK
2000-01-01,31974,AK
2001-01-01,33517,AK
2002-01-01,34634,AK
2003-01-01,35841,AK
2004-01-01,36916,AK
2005-01-01,38919,AK
2006-01-01,41058,AK
2007-01-01,43861,AK
2008-01-01,47749,AK
2009-01-01,47069,AK
2010-01-01,49437,AK
2011-01-01,52384,AK
2012-01-01,53624,AK
2013-01-01,52722,AK
2014-01-01,55835,AK
2015-01-01,57586,AK
2016-01-01,56020,AK
2017-01-01,56800,AK
2018-01-01,59605,AK
2019-01-01,62102,AK
1929-01-01,319,AL
1930-01-01,263,AL
1931-01-01,220,AL
1932-01-01,159,AL
1933-01-01,164,AL
1934-01-01,207,AL
1935-01-01,216,AL
1936-01-01,249,AL
1937-01-01,266,AL
1938-01-01,242,AL
1939-01-01,251,AL
1940-01-01,281,AL
1941-01-01,379,AL
1942-01-01,532,AL
1943-01-01,676,AL
1944-01-01,753,AL
1945-01-01,799,AL
1946-01-01,763,AL
1947-01-01,809,AL
1948-01-01,881,AL
1949-01-01,838,AL
1950-01-01,919,AL
1951-01-01,1071,AL
1952-01-01,1137,AL
1953-01-01,1193,AL
1954-01-01,1167,AL
1955-01-01,1305,AL
1956-01-01,1390,AL
1957-01-01,1460,AL
1958-01-01,1496,AL
1959-01-01,1553,AL
1960-01-01,1585,AL
1961-01-01,1616,AL
1962-01-01,1695,AL
1963-01-01,1782,AL
1964-01-01,1914,AL
1965-01-01,2048,AL
1966-01-01,2184,AL
1967-01-01,2311,AL
1968-01-01,2536,AL
1969-01-01,2831,AL
1970-01-01,3081,AL
1971-01-01,3345,AL
1972-01-01,3672,AL
1973-01-01,4088,AL
1974-01-01,4477,AL
1975-01-01,4918,AL
1976-01-01,5438,AL
1977-01-01,5920,AL
1978-01-01,6609,AL
1979-01-01,7275,AL
1980-01-01,7957,AL
1981-01-01,8796,AL
1982-01-01,9272,AL
1983-01-01,9906,AL
1984-01-01,10848,AL
1985-01-01,11604,AL
1986-01-01,12223,AL
1987-01-01,12864,AL
1988-01-01,13807,AL
1989-01-01,14986,AL
1990-01-01,15861,AL
1991-01-01,16572,AL
1992-01-01,17583,AL
1993-01-01,18129,AL
1994-01-01,18977,AL
1995-01-01,19892,AL
1996-01-01,20630,AL
1997-01-01,21516,AL
1998-01-01,22692,AL
1999-01-01,23352,AL
2000-01-01,24338,AL
2001-01-01,25104,AL
2002-01-01,25712,AL
2003-01-01,26693,AL
2004-01-01,28415,AL
2005-01-01,29832,AL
2006-01-01,31362,AL
2007-01-01,32598,AL
2008-01-01,33353,AL
2009-01-01,32608,AL
2010-01-01,33752,AL
2011-01-01,34995,AL
2012-01-01,35884,AL
2013-01-01,36110,AL
2014-01-01,37271,AL
