year,state,male_officer,male_civilian,female_officer,female_civilian
1960,AK,110,28,0,0
1960,AL,1815,208,0,0
1960,AR,731,49,0,0
1960,AS,0,0,0,0
1960,AZ,1066,158,0,0
1960,CA,15949,2985,0,0
1960,CO,1332,205,0,0
1960,CT,3598,424,0,0
1960,CZ,0,0,0,0
1960,DC,2540,203,0,0
1960,DE,456,95,0,0
1960,FL,4028,835,0,0
1960,FS,0,0,0,0
1960,GA,2271,207,0,0
1960,GM,0,0,0,0
1960,HI,701,114,0,0
1960,IA,1412,173,0,0
1960,ID,364,45,0,0
1960,IL,13940,2111,0,0
1960,IN,3632,307,0,0
1960,KS,1212,211,0,0
1960,KY,1450,157,0,0
1960,LA,1763,155,0,0
1960,MA,8635,547,0,0
1960,MD,3407,691,0,0
1960,ME,793,89,0,0
1960,MI,8359,859,0,0
1960,MN,2095,157,0,0
1960,MO,4093,926,0,0
1960,MP,0,0,0,0
1960,MS,807,88,0,0
1960,MT,352,42,0,0
1960,NB,831,114,0,0
1960,NC,2482,227,0,0
1960,ND,261,21,0,0
1960,NH,442,24,0,0
1960,NJ,8991,814,0,0
1960,NM,620,105,0,0
1960,NV,319,57,0,0
1960,NY,31137,1833,0,0
1960,OH,8322,902,0,0
1960,OK,1536,150,0,0
1960,OR,1267,216,0,0
1960,OT,0,0,0,0
1960,PA,11666,1053,0,0
1960,PR,0,0,0,0
1960,RI,1279,104,0,0
1960,SC,1172,115,0,0
1960,SD,285,33,0,0
1960,TN,1896,242,0,0
1960,TX,7184,1218,0,0
1960,UT,531,67,0,0
1960,VA,2391,237,0,0
1960,VI,0,0,0,0
1960,VT,289,57,0,0
1960,WA,2083,255,0,0
1960,WI,3884,238,0,0
1960,WV,964,133,0,0
1960,WY,212,57,0,0
1961,AK,204,65,0,0
1961,AL,1875,248,0,0
1961,AR,546,57,0,0
1961,AS,0,0,0,0
1961,AZ,834,95,0,0
1961,CA,22132,4595,0,0
1961,CO,1594,223,0,0
1961,CT,3796,402,0,0
1961,CZ,0,0,0,0
1961,DC,2809,201,0,0
1961,DE,429,71,0,0
1961,FL,4784,1155,0,0
1961,FS,0,0,0,0
1961,GA,2201,192,0,0
1961,GM,0,0,0,0
1961,HI,613,108,0,0
1961,IA,1391,193,0,0
1961,ID,520,57,0,0
1961,IL,4324,441,0,0
1961,IN,3916,351,0,0
1961,KS,1589,272,0,0
1961,KY,1287,150,0,0
1961,LA,2283,219,0,0
1961,MA,8641,516,0,0
1961,MD,3538,358,0,0
1961,ME,794,126,0,0
1961,MI,6226,831,0,0
1961,MN,2368,189,0,0
1961,MO,4167,907,0,0
1961,MP,0,0,0,0
1961,MS,732,114,0,0
1961,MT,470,47,0,0
1961,NB,925,139,0,0
1961,NC,2649,223,0,0
1961,ND,334,27,0,0
1961,NH,356,12,0,0
1961,NJ,10170,919,0,0
1961,NM,659,115,0,0
1961,NV,529,76,0,0
1961,NY,35148,1938,0,0
1961,OH,8889,1070,0,0
1961,OK,1297,72,0,0
1961,OR,1610,254,0,0
1961,OT,0,0,0,0
1961,PA,11227,985,0,0
1961,PR,0,0,0,0
1961,RI,1333,103,0,0
1961,SC,1041,119,0,0
1961,SD,281,34,0,0
1961,TN,1912,257,0,0
1961,TX,7382,1180,0,0
1961,UT,462,78,0,0
1961,VA,3190,529,0,0
1961,VI,0,0,0,0
1961,VT,162,9,0,0
1961,WA,2440,282,0,0
1961,WI,4379,297,0,0
1961,WV,757,118,0,0
1961,WY,271,67,0,0
1962,AK,123,64,0,0
1962,AL,1540,204,0,0
1962,AR,613,50,0,0
1962,AS,0,0,0,0
1962,AZ,1453,189,0,0
1962,CA,22932,4998,0,0
1962,CO,1644,259,0,0
1962,CT,3398,207,0,0
1962,CZ,0,0,0,0
1962,DC,3064,299,0,0
1962,DE,478,77,0,0
1962,FL,5333,1431,0,0
1962,FS,0,0,0,0
1962,GA,1910,207,0,0
1962,GM,0,0,0,0
1962,HI,649,111,0,0
