year,state,Black,Other,White,Female,Male,0 years,1-4 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,5-9 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85+ years
1969-01-01,AK,8783,52817,232690,132641,161649,6860,24450,33422,25953,35617,25763,21569,20158,17177,14853,37256,11406,8276,5098,2970,1451,852,566,593
1969-01-01,AL,900087,4992,2506691,1765316,1646454,61531,237428,370853,337673,259782,215114,188457,187001,198206,193119,355347,177744,168095,147910,117810,83144,57064,33794,21698
1969-01-01,AR,352493,3514,1537761,976466,917302,32213,122610,194038,179016,133576,113492,96177,95171,101858,104233,190278,102929,101320,96709,81859,60424,45246,25582,17037
1969-01-01,AZ,51855,101253,1549837,866795,836150,32148,120135,188014,164191,132441,110169,95582,94580,97113,98440,187244,86622,76568,68848,57623,43758,27511,13899,8059
1969-01-01,CA,1375185,641571,17729149,10033973,9711932,343239,1300232,1947352,1788757,1654474,1437251,1191469,1148938,1219900,1255775,1970995,1064899,920161,757357,603989,477338,335228,203713,124838
1969-01-01,CO,63067,20766,2069320,1092849,1060304,38480,143689,230119,211091,188814,148685,127204,125123,127950,123925,228781,106648,91180,77498,60561,49142,36790,22787,14686
1969-01-01,CT,178227,9937,2826451,1552710,1461905,50891,206686,301657,259164,218838,206206,165007,167993,191711,198002,304685,184007,154594,123619,94412,77924,56634,33103,19482
1969-01-01,DC,540837,7240,212214,407101,353190,12734,48790,64991,65562,77923,65502,46867,42838,43388,44116,66414,40328,38248,32850,25051,19777,12687,7387,4838
1969-01-01,DE,76165,2288,459358,275435,262376,9659,38661,58337,49367,40498,37581,31276,32259,33266,33389,58886,29107,23589,19374,14708,11893,8169,4804,2988
1969-01-01,FL,1023210,19463,5525277,3399352,3168598,100974,388320,629850,554666,455806,386984,345307,349916,389500,388284,615121,354746,335217,345966,336111,275937,177723,89398,48124
1969-01-01,GA,1165837,8036,3339392,2318131,2195134,85907,330722,473625,433195,399732,325983,265443,254145,259019,249682,477481,229216,204100,172080,132701,94910,63791,37834,23699
1969-01-01,HI,6829,503550,240724,361259,389844,14960,54845,78696,70035,77277,58080,45331,46347,49258,45794,81209,36561,29022,22004,16960,11184,6489,4475,2576
1969-01-01,IA,31816,6442,2771525,1445093,1364690,47541,185507,292399,270701,190382,164506,145334,142508,157120,159095,288920,152188,140092,126730,107082,93569,72268,44828,29013
1969-01-01,ID,2100,10077,685310,349676,347811,13090,48452,78737,72520,48662,42520,37206,36245,38041,39224,73936,38562,34850,29750,21677,17316,13380,8309,5010
1969-01-01,IL,1396358,60713,9595748,5692924,5359895,189359,747365,1128689,995880,797305,743563,626171,610883,670030,674679,1129746,622522,566279,474011,373177,294829,213092,123178,72061
1969-01-01,IN,352655,11088,4798835,2648450,2514128,92428,361816,543511,496533,392506,343627,289680,280583,307364,306326,544270,271048,242247,205692,163790,131668,95561,57828,36100
1969-01-01,KS,105726,13203,2131399,1147197,1103131,36631,138626,229254,217155,180508,138195,117444,119766,128775,130150,221274,118774,110726,102005,82420,70246,53065,33613,21701
1969-01-01,KY,228205,4316,2941219,1616151,1557589,54260,212089,329364,313726,249974,199554,172414,168772,181545,182019,323346,164027,154539,138069,114264,89680,63575,38510,24013
1969-01-01,LA,1077175,8948,2518244,1849765,1754602,70275,277701,408201,371323,282540,230651,195222,190856,204867,195460,406847,174528,160159,140591,114175,80168,51830,29441,19532
1969-01-01,MA,169617,27654,5462164,2955415,2704020,93845,382881,550766,506109,441126,367039,287226,298887,336474,345577,558846,324250,287636,250790,205776,174768,126277,75197,45965
1969-01-01,MD,673009,20540,3170972,1975731,1888790,67657,278624,403110,346430,308112,282726,230410,225674,245346,248332,413753,210708,174180,140044,106403,81151,52928,30561,18372
1969-01-01,ME,2960,3296,974353,502876,477733,16827,67208,100558,91521,71169,57169,49667,52511,56939,56465,101719,52462,48693,45299,36906,31008,21877,13615,8996
1969-01-01,MI,971876,35666,7820291,4504356,4323477,163790,643536,978311,861147,664339,589815,479480,476891,538190,532601,949603,472649,407028,331948,260223,202773,145720,82320,47469
1969-01-01,MN,33385,29418,3716120,1929686,1849237,67399,265623,413265,368053,273709,245858,202432,192548,204297,203474,416780,192869,176151,154286,128696,110615,83055,49551,30262
1969-01-01,MO,477448,14099,4158782,2406644,2243685,75972,293267,468902,423834,337341,297068,247977,247951,265665,270068,462712,246675,239825,222760,184765,148252,108904,66628,41763
1969-01-01,MS,810332,6664,1370163,1128420,1058739,43386,163813,251441,229255,160827,125881,112329,108077,115615,110963,242335,106838,104675,97526,80034,57043,38821,22827,15473
1969-01-01,MT,1956,27894,654372,342671,341551,11570,44262,78230,69112,47496,40639,36446,35931,38822,38590,74173,39110,34362,27817,21379,16670,14213,9820,5580
1969-01-01,NC,1112881,49617,3851170,2556405,2457263,89844,344067,515920,514233,441774,342208,290518,287758,302399,294813,503906,261167,233433,195074,150545,108932,71643,40493,24941
1969-01-01,ND,2420,14860,595174,303867,308587,10608,40169,70577,64100,44880,33398,30226,31598,33220,31868,66411,32152,31040,27297,21150,17275,12933,8363,5189
1969-01-01,NE,39082,9189,1425513,754524,719260,24311,94698,152527,141894,107458,87181,76629,78424,82305,81172,152097,75410,71846,66878,55643,49201,38005,23252,14853
1969-01-01,NH,2372,1458,719125,369874,353081,12719,52199,72309,65003,54392,46955,38962,39249,41713,41773,76424,38570,34771,31476,25315,21441,15063,8844,5777
1969-01-01,NJ,752405,29131,6322892,3667125,3437303,116379,476285,700901,598347,483281,460811,394432,415007,471690,479731,709947,432824,374803,308305,241055,195011,130055,73978,41586
1969-01-01,NM,19072,75038,901163,505152,490121,19936,74857,121489,102260,76436,62915,58225,58250,57503,54037,122395,46001,40891,33594,24567,17891,12470,7329,4227
1969-01-01,NV,26201,10862,432914,231797,238180,8707,34214,47882,37934,35551,36023,32739,30493,30406,30069,51244,26939,22596,16743,11752,7704,4815,2610,1556
1969-01-01,NY,2134051,164472,15868582,9489389,8677716,302690,1197555,1695761,1539512,1317543,1225705,1022290,1034912,1142257,1143113,1723945,1048963,977743,859375,694597,553305,366119,205656,116064
1969-01-01,OH,965503,24074,9621151,5470621,5140107,187829,735386,1128187,1001427,790947,687275,594180,583846,655602,660245,1090787,583586,507273,424391,329605,269353,195458,115366,69985
1969-01-01,OK,168820,97611,2257340,1295021,1228750,40872,151607,250977,237518,196011,159749,136346,138327,145028,147264,242794,132548,131379,122071,101003,77475,56165,34231,22406
1969-01-01,OR,25471,27563,2003345,1051047,1005332,33683,127911,209145,200817,151702,133982,110569,106092,118537,124955,198195,117901,109904,92657,73218,59599,43708,27214,16590
1969-01-01,PA,1013664,26350,10710355,6108960,5641409,184048,748712,1168193,1063396,803597,699315,601402,634105,759525,784910,1114557,735068,653749,553202,431595,350027,244031,139780,81157
1969-01-01,RI,24597,5285,911240,478804,462318,15362,61402,87452,84292,84876,58584,46150,47812,57573,60148,88119,54996,49740,42583,34704,28784,20030,11658,6857
1969-01-01,SC,777814,5009,1764885,1295571,1252137,47998,184798,279973,277725,224635,171508,140503,140953,144524,145967,273818,128380,111761,92820,71170,49409,32468,18161,11137
1969-01-01,SD,1618,31790,629673,334258,328823,10986,42676,74951,69629,45460,34648,31211,33368,36457,36520,71113,35153,32377,29159,25088,21715,16360,10226,5984
1969-01-01,TN,614392,6418,3254062,2001819,1873053,66281,255312,392097,373135,303405,260459,222707,217407,229627,228719,384167,206942,192972,170712,134957,100629,69077,40679,25588
1969-01-01,TX,1387407,45429,9577711,5627648,5382899,208496,776223,1169000,1070013,895542,744758,627581,626846,652496,627833,1167369,540730,507072,441374,350821,258099,176877,104131,65286
1969-01-01,UT,6395,17770,1010285,524347,510103,23589,82588,122482,114344,90346,69570,56053,53197,53922,52267,118239,47829,40593,34460,26099,20843,14308,8549,5172
1969-01-01,VA,851330,19240,3719176,2320776,2268970,79707,310575,468587,432903,422525,329580,271520,266788,281797,283559,466124,244072,207637,169272,130679,97643,65108,38061,23609
1969-01-01,VT,709,683,437556,224623,214325,8050,31580,45014,43602,33741,28253,22827,22571,24100,23751,47155,22326,20464,18930,15462,12633,9096,5557,3836
1969-01-01,WA,69810,75861,3247234,1706015,1686890,59203,222682,348443,328623,286318,236485,188241,180657,195021,206537,338295,187909,165948,136146,103255,83249,62117,39328,24448
1969-01-01,WI,124130,26168,4242606,2239272,2153632,75635,308542,471778,427857,316581,268486,229977,227025,247518,244809,476863,231076,215654,187050,153773,128192,93529,55254,33305
1969-01-01,WV,67715,2533,1658163,892204,836207,27714,108347,176627,171345,119982,95430,88653,89912,107344,109166,161808,101550,96108,84141,66523,52680,35940,21489,13652
1969-01-01,WY,2526,6246,319037,163899,163910,5944,21722,36547,32777,22376,20422,18090,18443,20083,19411,34684,17843,16273,13533,9929,8181,6079,3547,1925
1970-01-01,AK,9209,54448,241671,138616,166712,7085,25224,34529,27512,37271,27642,22999,20687,17595,15228,36768,11925,8650,5376,3153,1584,928,582,590
1970-01-01,AL,904428,5837,2544292,1787363,1667194,62063,239382,372433,344207,278035,218635,191784,185794,196343,193933,346870,180446,168978,150113,122651,86180,59071,34990,22649
1970-01-01,AR,352451,4288,1576077,995782,937034,33083,125904,197032,183793,145180,117059,99808,96003,101853,104664,186674,103983,101865,97847,84948,62579,46047,26751,17743
