year,population,state
1950-01-01,135000,AK
1951-01-01,158000,AK
1952-01-01,189000,AK
1953-01-01,205000,AK
1954-01-01,215000,AK
1955-01-01,222000,AK
1956-01-01,224000,AK
1957-01-01,231000,AK
1958-01-01,224000,AK
1959-01-01,224000,AK
1960-01-01,229000,AK
1961-01-01,238000,AK
1962-01-01,246000,AK
1963-01-01,256000,AK
1964-01-01,263000,AK
1965-01-01,271000,AK
1966-01-01,271000,AK
1967-01-01,278000,AK
1968-01-01,285000,AK
1969-01-01,296000,AK
1970-01-01,302583,AK
1971-01-01,315510,AK
1972-01-01,324464,AK
1973-01-01,330543,AK
1974-01-01,341063,AK
1975-01-01,376170,AK
1976-01-01,400969,AK
1977-01-01,403436,AK
1978-01-01,404766,AK
1979-01-01,402753,AK
1980-01-01,405315,AK
1981-01-01,418491,AK
1982-01-01,449606,AK
1983-01-01,488417,AK
1984-01-01,513702,AK
1985-01-01,532495,AK
1986-01-01,544268,AK
1987-01-01,539309,AK
1988-01-01,541983,AK
1989-01-01,547159,AK
1990-01-01,553120,AK
1991-01-01,569273,AK
1992-01-01,587073,AK
1993-01-01,596993,AK
1994-01-01,600624,AK
1995-01-01,601345,AK
1996-01-01,604918,AK
1997-01-01,608846,AK
1998-01-01,615205,AK
1999-01-01,619500,AK
2000-01-01,627963,AK
2001-01-01,633714,AK
2002-01-01,642337,AK
2003-01-01,648414,AK
2004-01-01,659286,AK
2005-01-01,666946,AK
2006-01-01,675302,AK
2007-01-01,680300,AK
2008-01-01,687455,AK
2009-01-01,698895,AK
2010-01-01,71391,AK
2011-01-01,722128,AK
2012-01-01,730443,AK
2013-01-01,737068,AK
2014-01-01,736283,AK
2015-01-01,737498,AK
2016-01-01,741456,AK
2017-01-01,7397,AK
2018-01-01,735139,AK
2019-01-01,731545,AK
1900-01-01,1830000,AL
1901-01-01,1907000,AL
1902-01-01,1935000,AL
1903-01-01,1957000,AL
1904-01-01,1978000,AL
1905-01-01,2012000,AL
1906-01-01,2045000,AL
1907-01-01,2058000,AL
1908-01-01,2070000,AL
1909-01-01,2108000,AL
1910-01-01,2150000,AL
1911-01-01,2185000,AL
1912-01-01,2217000,AL
1913-01-01,2279000,AL
1914-01-01,2336000,AL
1915-01-01,2345000,AL
1916-01-01,2359000,AL
1917-01-01,2361000,AL
1918-01-01,2343000,AL
1919-01-01,2337000,AL
1920-01-01,2359000,AL
1921-01-01,2402000,AL
1922-01-01,2434000,AL
1923-01-01,2464000,AL
1924-01-01,2501000,AL
1925-01-01,2534000,AL
1926-01-01,2567000,AL
1927-01-01,2609000,AL
1928-01-01,2640000,AL
1929-01-01,2644000,AL
1930-01-01,2647000,AL
1931-01-01,2649000,AL
1932-01-01,2653000,AL
1933-01-01,2661000,AL
1934-01-01,2685000,AL
1935-01-01,2719000,AL
1936-01-01,2743000,AL
1937-01-01,2762000,AL
1938-01-01,2787000,AL
1939-01-01,2814000,AL
1940-01-01,2845000,AL
1941-01-01,2902000,AL
1942-01-01,2941000,AL
1943-01-01,2902000,AL
1944-01-01,2802000,AL
1945-01-01,2775000,AL
1946-01-01,2911000,AL
1947-01-01,2942000,AL
1948-01-01,2969000,AL
1949-01-01,3000000,AL
1950-01-01,3058000,AL
1951-01-01,3059000,AL
1952-01-01,3068000,AL
1953-01-01,3053000,AL
1954-01-01,3014000,AL
1955-01-01,3050000,AL
1956-01-01,3071000,AL
1957-01-01,3109000,AL
1958-01-01,3163000,AL
1959-01-01,3204000,AL
1960-01-01,3274000,AL
1961-01-01,3316000,AL
1962-01-01,3323000,AL
1963-01-01,3358000,AL
1964-01-01,3395000,AL
1965-01-01,3443000,AL
1966-01-01,3464000,AL
1967-01-01,3458000,AL
1968-01-01,3446000,AL
1969-01-01,3440000,AL
1970-01-01,3444354,AL
1971-01-01,3497076,AL
1972-01-01,3539400,AL
1973-01-01,3579780,AL
1974-01-01,3626499,AL
1975-01-01,3678814,AL
1976-01-01,3735139,AL
1977-01-01,3780403,AL
1978-01-01,3831836,AL
1979-01-01,3866248,AL
1980-01-01,3900368,AL
1981-01-01,3918531,AL
1982-01-01,3925266,AL
1983-01-01,3934102,AL
1984-01-01,3951820,AL
1985-01-01,3972523,AL
1986-01-01,3991569,AL
1987-01-01,4015264,AL
1988-01-01,4023844,AL
1989-01-01,4030222,AL
1990-01-01,4048508,AL
1991-01-01,4091025,AL
1992-01-01,4139269,AL
1993-01-01,4193114,AL
1994-01-01,4232965,AL
1995-01-01,4262731,AL
1996-01-01,4290403,AL
1997-01-01,4320281,AL
1998-01-01,4351037,AL
1999-01-01,4369862,AL
2000-01-01,4452173,AL
2001-01-01,4467634,AL
2002-01-01,4480089,AL
2003-01-01,4503491,AL
2004-01-01,4530729,AL
2005-01-01,4569805,AL
2006-01-01,4628981,AL
2007-01-01,4672840,AL
2008-01-01,4718206,AL
2009-01-01,4757938,AL
2010-01-01,4785437,AL
2011-01-01,4799069,AL
2012-01-01,4815588,AL
2013-01-01,4830081,AL
2014-01-01,4841799,AL
2015-01-01,4852347,AL
2016-01-01,4863525,AL
2017-01-01,4874486,AL
2018-01-01,4887681,AL
2019-01-01,4903185,AL
1900-01-01,1314000,AR
1901-01-01,1341000,AR
1902-01-01,1360000,AR
1903-01-01,1384000,AR
1904-01-01,1419000,AR
1905-01-01,1447000,AR
1906-01-01,1465000,AR
1907-01-01,1484000,AR
1908-01-01,1513000,AR
1909-01-01,1545000,AR
1910-01-01,1583000,AR
1911-01-01,1610000,AR
1912-01-01,1636000,AR
1913-01-01,1664000,AR
1914-01-01,1688000,AR
1915-01-01,1702000,AR
1916-01-01,1719000,AR
1917-01-01,1737000,AR
1918-01-01,1749000,AR
1919-01-01,1742000,AR
1920-01-01,1756000,AR
