year,total_agencies,participation_agencies,participating_agencies_pct,nibrs_participating_agencies,nibrs_participating_agencies_pct,covered_agencies,covered_pct,total_population,nibrs_population,state
1960,55,6,0.11,0,0,0,0,226167,0,AK
1960,488,129,0.26,0,0,0,0,3324840,0,AL
1960,346,112,0.32,0,0,1,0.01,1810544,0,AR
1960,1,0,0,0,0,0,0,0,0,NA
1960,173,40,0.23,0,0,0,0,1306352,0,AZ
1960,931,378,0.41,0,0,0,0,16190816,0,CA
1960,321,101,0.31,0,0,1,0.01,1774226,0,CO
1960,129,56,0.43,0,0,0,0,2557022,0,CT
1960,1,0,0,0,0,0,0,42122,0,NA
1960,3,1,0.33,0,0,0,0,763956,0,DC
1960,84,10,0.12,0,0,0,0,453611,0,DE
1960,1219,145,0.12,0,0,0,0,5021308,0,FL
1960,825,239,0.29,0,0,2,0.01,3984144,0,GA
1960,3,1,0.33,0,0,0,0,62044,0,NA
1960,18,13,0.72,0,0,0,0,636977,0,HI
1960,283,190,0.67,0,0,1,0.01,2766036,0,IA
1960,152,75,0.49,0,0,0,0,658805,0,ID
1960,1186,377,0.32,0,0,0,0,10125616,0,IL
1960,414,211,0.51,0,0,0,0,4665785,0,IN
1960,473,183,0.39,0,0,1,0.01,2189131,0,KS
1960,709,179,0.25,0,0,0,0,3042326,0,KY
1960,314,89,0.28,0,0,1,0.01,3394657,0,LA
1960,511,145,0.28,0,0,0,0,5166360,0,MA
1960,213,43,0.20,0,0,0,0,3172495,0,MD
1960,260,62,0.24,0,0,0,0,971919,0,ME
1960,874,267,0.31,0,0,0,0,7831982,0,MI
1960,485,204,0.42,0,0,0,0,3422563,0,MN
1960,727,222,0.31,0,0,1,0.00,4385148,0,MO
1960,258,104,0.40,0,0,0,0,2182022,0,MS
1960,148,81,0.55,0,0,0,0,679448,0,MT
1960,342,126,0.37,0,0,0,0,1414511,0,NE
1960,827,185,0.22,0,0,0,0,4541781,0,NC
1960,144,68,0.47,0,0,0,0,632446,0,ND
1960,259,30,0.12,0,0,0,0,606921,0,NH
1960,658,275,0.42,0,0,0,0,6049690,0,NJ
1960,164,47,0.29,0,0,0,0,982964,0,NM
1960,79,26,0.33,0,0,0,0,285278,0,NV
1960,1257,280,0.22,0,0,0,0,17501185,0,NY
1960,933,349,0.37,0,0,0,0,9712882,0,OH
1960,498,156,0.31,0,0,0,0,2346856,0,OK
1960,305,87,0.29,0,0,0,0,1764906,0,OR
1960,1904,375,0.20,0,0,0,0,11522390,0,PA
1960,25,0,0,0,0,0,0,0,0,NA
1960,64,25,0.39,0,0,0,0,926143,0,RI
1960,573,87,0.15,0,0,1,0.01,2419593,0,SC
1960,192,82,0.43,0,0,0,0,680514,0,SD
1960,606,145,0.24,0,0,0,0,3474686,0,TN
1960,1265,444,0.35,0,0,2,0.00,9780327,0,TX
1960,199,57,0.29,0,0,0,0,918426,0,UT
1960,3,0,0,0,0,0,0,0,0,NA
1960,492,130,0.26,0,0,0,0,3851616,0,VA
1960,105,23,0.22,0,0,0,0,389881,0,VT
