year,unemp,state
1976-01-01,0.068,AL
1977-01-01,0.073,AL
1978-01-01,0.064,AL
1979-01-01,0.07200000000000001,AL
1980-01-01,0.08900000000000001,AL
1981-01-01,0.106,AL
1982-01-01,0.141,AL
1983-01-01,0.138,AL
1984-01-01,0.11,AL
1985-01-01,0.092,AL
1986-01-01,0.09699999999999999,AL
1987-01-01,0.081,AL
1988-01-01,0.07200000000000001,AL
1989-01-01,0.07,AL
1990-01-01,0.068,AL
1991-01-01,0.073,AL
1992-01-01,0.076,AL
1993-01-01,0.073,AL
1994-01-01,0.062,AL
1995-01-01,0.06,AL
1996-01-01,0.052000000000000005,AL
1997-01-01,0.05,AL
1998-01-01,0.044000000000000004,AL
1999-01-01,0.047,AL
2000-01-01,0.046,AL
2001-01-01,0.051,AL
2002-01-01,0.059000000000000004,AL
2003-01-01,0.06,AL
2004-01-01,0.057,AL
2005-01-01,0.045,AL
2006-01-01,0.04,AL
2007-01-01,0.04,AL
2008-01-01,0.057,AL
2009-01-01,0.11,AL
2010-01-01,0.105,AL
2011-01-01,0.096,AL
2012-01-01,0.08,AL
2013-01-01,0.07200000000000001,AL
2014-01-01,0.068,AL
2015-01-01,0.061,AL
2016-01-01,0.057999999999999996,AL
2017-01-01,0.044000000000000004,AL
2018-01-01,0.039,AL
2019-01-01,0.03,AL
1976-01-01,0.076,AK
1977-01-01,0.099,AK
1978-01-01,0.106,AK
1979-01-01,0.09300000000000001,AK
1980-01-01,0.096,AK
1981-01-01,0.094,AK
1982-01-01,0.099,AK
1983-01-01,0.099,AK
1984-01-01,0.098,AK
1985-01-01,0.09699999999999999,AK
1986-01-01,0.109,AK
1987-01-01,0.10300000000000001,AK
1988-01-01,0.08800000000000001,AK
1989-01-01,0.07,AK
1990-01-01,0.07200000000000001,AK
1991-01-01,0.085,AK
1992-01-01,0.08900000000000001,AK
1993-01-01,0.077,AK
1994-01-01,0.076,AK
1995-01-01,0.073,AK
1996-01-01,0.076,AK
1997-01-01,0.071,AK
1998-01-01,0.063,AK
1999-01-01,0.065,AK
2000-01-01,0.064,AK
2001-01-01,0.064,AK
2002-01-01,0.073,AK
2003-01-01,0.078,AK
2004-01-01,0.075,AK
2005-01-01,0.069,AK
2006-01-01,0.066,AK
2007-01-01,0.063,AK
2008-01-01,0.067,AK
2009-01-01,0.077,AK
2010-01-01,0.079,AK
2011-01-01,0.076,AK
2012-01-01,0.071,AK
2013-01-01,0.07,AK
2014-01-01,0.069,AK
2015-01-01,0.065,AK
2016-01-01,0.069,AK
2017-01-01,0.069,AK
2018-01-01,0.065,AK
2019-01-01,0.061,AK
1976-01-01,0.09699999999999999,AZ
1977-01-01,0.08199999999999999,AZ
1978-01-01,0.06,AZ
1979-01-01,0.051,AZ
1980-01-01,0.066,AZ
1981-01-01,0.062,AZ
1982-01-01,0.10099999999999999,AZ
1983-01-01,0.08800000000000001,AZ
1984-01-01,0.052000000000000005,AZ
1985-01-01,0.063,AZ
1986-01-01,0.069,AZ
1987-01-01,0.065,AZ
1988-01-01,0.064,AZ
1989-01-01,0.053,AZ
1990-01-01,0.053,AZ
1991-01-01,0.059000000000000004,AZ
1992-01-01,0.075,AZ
1993-01-01,0.064,AZ
1994-01-01,0.061,AZ
1995-01-01,0.053,AZ
1996-01-01,0.055999999999999994,AZ
1997-01-01,0.046,AZ
1998-01-01,0.043,AZ
1999-01-01,0.044000000000000004,AZ
2000-01-01,0.04,AZ
2001-01-01,0.048,AZ
2002-01-01,0.061,AZ
2003-01-01,0.057,AZ
2004-01-01,0.05,AZ
2005-01-01,0.047,AZ
2006-01-01,0.042,AZ
2007-01-01,0.039,AZ
2008-01-01,0.062,AZ
2009-01-01,0.099,AZ
2010-01-01,0.10400000000000001,AZ
2011-01-01,0.095,AZ
2012-01-01,0.083,AZ
2013-01-01,0.077,AZ
2014-01-01,0.068,AZ
2015-01-01,0.061,AZ
2016-01-01,0.054000000000000006,AZ
2017-01-01,0.049,AZ
2018-01-01,0.047,AZ
2019-01-01,0.047,AZ
1976-01-01,0.07,AR
1977-01-01,0.065,AR
1978-01-01,0.062,AR
1979-01-01,0.062,AR
1980-01-01,0.076,AR
1981-01-01,0.087,AR
1982-01-01,0.099,AR
1983-01-01,0.099,AR
1984-01-01,0.087,AR
1985-01-01,0.087,AR
1986-01-01,0.086,AR
1987-01-01,0.081,AR
1988-01-01,0.076,AR
1989-01-01,0.07,AR
1990-01-01,0.069,AR
1991-01-01,0.07400000000000001,AR
1992-01-01,0.071,AR
1993-01-01,0.061,AR
1994-01-01,0.054000000000000006,AR
1995-01-01,0.048,AR
1996-01-01,0.053,AR
1997-01-01,0.052000000000000005,AR
1998-01-01,0.052000000000000005,AR
1999-01-01,0.046,AR
2000-01-01,0.043,AR
2001-01-01,0.05,AR
2002-01-01,0.055,AR
2003-01-01,0.059000000000000004,AR
2004-01-01,0.057,AR
2005-01-01,0.052000000000000005,AR
2006-01-01,0.052000000000000005,AR
2007-01-01,0.053,AR
2008-01-01,0.055,AR
2009-01-01,0.078,AR
2010-01-01,0.08199999999999999,AR
2011-01-01,0.083,AR
2012-01-01,0.076,AR
2013-01-01,0.07200000000000001,AR
2014-01-01,0.06,AR
2015-01-01,0.05,AR
2016-01-01,0.04,AR
2017-01-01,0.037000000000000005,AR
2018-01-01,0.036000000000000004,AR
2019-01-01,0.035,AR
1976-01-01,0.091,CA
1977-01-01,0.083,CA
1978-01-01,0.07200000000000001,CA
1979-01-01,0.062,CA
1980-01-01,0.068,CA
1981-01-01,0.07400000000000001,CA
1982-01-01,0.1,CA
1983-01-01,0.098,CA
1984-01-01,0.078,CA
1985-01-01,0.07200000000000001,CA
1986-01-01,0.067,CA
1987-01-01,0.057999999999999996,CA
1988-01-01,0.053,CA
1989-01-01,0.051,CA
1990-01-01,0.057999999999999996,CA
1991-01-01,0.077,CA
1992-01-01,0.09300000000000001,CA
1993-01-01,0.095,CA
1994-01-01,0.086,CA
1995-01-01,0.079,CA
1996-01-01,0.073,CA
1997-01-01,0.064,CA
1998-01-01,0.059000000000000004,CA
1999-01-01,0.052000000000000005,CA
2000-01-01,0.049,CA
2001-01-01,0.054000000000000006,CA
2002-01-01,0.067,CA
2003-01-01,0.068,CA
2004-01-01,0.062,CA
2005-01-01,0.054000000000000006,CA
2006-01-01,0.049,CA
2007-01-01,0.054000000000000006,CA
2008-01-01,0.073,CA
2009-01-01,0.11199999999999999,CA
2010-01-01,0.122,CA
2011-01-01,0.11699999999999999,CA
2012-01-01,0.10400000000000001,CA
2013-01-01,0.08900000000000001,CA
2014-01-01,0.075,CA
2015-01-01,0.062,CA
2016-01-01,0.055,CA
2017-01-01,0.048,CA
2018-01-01,0.043,CA
2019-01-01,0.04,CA
1976-01-01,0.057999999999999996,CO
1977-01-01,0.064,CO
1978-01-01,0.055,CO
1979-01-01,0.047,CO
1980-01-01,0.057999999999999996,CO
1981-01-01,0.057,CO
1982-01-01,0.073,CO
1983-01-01,0.071,CO
1984-01-01,0.054000000000000006,CO
1985-01-01,0.061,CO
1986-01-01,0.075,CO
1987-01-01,0.075,CO
1988-01-01,0.065,CO
1989-01-01,0.057,CO
1990-01-01,0.052000000000000005,CO
1991-01-01,0.053,CO
1992-01-01,0.06,CO
1993-01-01,0.053,CO
1994-01-01,0.042,CO
1995-01-01,0.04,CO
1996-01-01,0.042,CO
1997-01-01,0.035,CO
1998-01-01,0.036000000000000004,CO
1999-01-01,0.031,CO
2000-01-01,0.027999999999999997,CO
2001-01-01,0.038,CO
2002-01-01,0.055,CO
2003-01-01,0.06,CO
2004-01-01,0.055,CO
2005-01-01,0.05,CO
2006-01-01,0.043,CO
2007-01-01,0.037000000000000005,CO
2008-01-01,0.048,CO
2009-01-01,0.073,CO
2010-01-01,0.087,CO
2011-01-01,0.084,CO
2012-01-01,0.079,CO
2013-01-01,0.069,CO
2014-01-01,0.05,CO
2015-01-01,0.039,CO
2016-01-01,0.033,CO
2017-01-01,0.027999999999999997,CO
2018-01-01,0.032,CO
2019-01-01,0.027999999999999997,CO
1976-01-01,0.09300000000000001,CT
1977-01-01,0.07,CT
1978-01-01,0.052000000000000005,CT
1979-01-01,0.051,CT
1980-01-01,0.057999999999999996,CT
1981-01-01,0.062,CT
1982-01-01,0.069,CT
1983-01-01,0.06,CT
1984-01-01,0.047,CT
1985-01-01,0.047,CT
1986-01-01,0.038,CT
1987-01-01,0.034,CT
1988-01-01,0.03,CT
1989-01-01,0.038,CT
1990-01-01,0.051,CT
1991-01-01,0.065,CT
1992-01-01,0.076,CT
1993-01-01,0.066,CT
1994-01-01,0.055999999999999994,CT
1995-01-01,0.055,CT
1996-01-01,0.055,CT
1997-01-01,0.05,CT
1998-01-01,0.034,CT
1999-01-01,0.028999999999999998,CT
2000-01-01,0.024,CT
2001-01-01,0.031,CT
2002-01-01,0.043,CT
2003-01-01,0.054000000000000006,CT
2004-01-01,0.05,CT
2005-01-01,0.049,CT
2006-01-01,0.043,CT
2007-01-01,0.045,CT
2008-01-01,0.057,CT
2009-01-01,0.079,CT
2010-01-01,0.091,CT
2011-01-01,0.08800000000000001,CT
2012-01-01,0.083,CT
2013-01-01,0.078,CT
2014-01-01,0.066,CT
2015-01-01,0.057,CT
2016-01-01,0.051,CT
2017-01-01,0.047,CT
2018-01-01,0.040999999999999995,CT
2019-01-01,0.037000000000000005,CT
1976-01-01,0.08800000000000001,DE
1977-01-01,0.085,DE
1978-01-01,0.07400000000000001,DE
1979-01-01,0.07200000000000001,DE
1980-01-01,0.076,DE
1981-01-01,0.078,DE
1982-01-01,0.084,DE
1983-01-01,0.077,DE
1984-01-01,0.063,DE
1985-01-01,0.051,DE
1986-01-01,0.043,DE
1987-01-01,0.031,DE
1988-01-01,0.031,DE
1989-01-01,0.035,DE
1990-01-01,0.047,DE
1991-01-01,0.062,DE
1992-01-01,0.054000000000000006,DE
1993-01-01,0.051,DE
1994-01-01,0.048,DE
1995-01-01,0.043,DE
1996-01-01,0.051,DE
1997-01-01,0.04,DE
1998-01-01,0.037000000000000005,DE
1999-01-01,0.034,DE
2000-01-01,0.037000000000000005,DE
2001-01-01,0.035,DE
2002-01-01,0.04,DE
2003-01-01,0.043,DE
2004-01-01,0.04,DE
2005-01-01,0.040999999999999995,DE
2006-01-01,0.036000000000000004,DE
2007-01-01,0.034,DE
2008-01-01,0.049,DE
2009-01-01,0.083,DE
2010-01-01,0.084,DE
2011-01-01,0.075,DE
2012-01-01,0.07200000000000001,DE
2013-01-01,0.067,DE
2014-01-01,0.057,DE
2015-01-01,0.049,DE
2016-01-01,0.045,DE
2017-01-01,0.045,DE
2018-01-01,0.038,DE
2019-01-01,0.038,DE
1976-01-01,0.09,DC
1977-01-01,0.092,DC
1978-01-01,0.083,DC
1979-01-01,0.07,DC
1980-01-01,0.07400000000000001,DC
1981-01-01,0.08900000000000001,DC
1982-01-01,0.10400000000000001,DC
1983-01-01,0.11199999999999999,DC
1984-01-01,0.091,DC
1985-01-01,0.081,DC
1986-01-01,0.075,DC
1987-01-01,0.063,DC
1988-01-01,0.05,DC
1989-01-01,0.049,DC
1990-01-01,0.063,DC
1991-01-01,0.078,DC
1992-01-01,0.086,DC
1993-01-01,0.085,DC
1994-01-01,0.08,DC
1995-01-01,0.08800000000000001,DC
1996-01-01,0.084,DC
1997-01-01,0.08,DC
1998-01-01,0.084,DC
1999-01-01,0.064,DC
2000-01-01,0.055999999999999994,DC
2001-01-01,0.063,DC
2002-01-01,0.064,DC
2003-01-01,0.068,DC
2004-01-01,0.078,DC
2005-01-01,0.064,DC
2006-01-01,0.057999999999999996,DC
2007-01-01,0.055,DC
2008-01-01,0.065,DC
2009-01-01,0.09300000000000001,DC
2010-01-01,0.094,DC
2011-01-01,0.102,DC
2012-01-01,0.09,DC
2013-01-01,0.085,DC
2014-01-01,0.078,DC
2015-01-01,0.069,DC
2016-01-01,0.061,DC
