cname,ccode,ccodealp,ccodecow,ccodewb,aii_acc,aii_aio,aii_cilser,aii_elec,aii_pubm,aii_q01,aii_q02,aii_q03,aii_q04,aii_q05,aii_q06,aii_q07,aii_q08,aii_q09,aii_q10,aii_q11,aii_q12,aii_q13,aii_q14,aii_q15,aii_q16,aii_q17,aii_q18,aii_q19,aii_q20,aii_q21,aii_q22,aii_q23,aii_q24,aii_q25,aii_q26,aii_q27,aii_q28,aii_q29,aii_q30,aii_q31,aii_q32,aii_q33,aii_q34,aii_q35,aii_q36,aii_q37,aii_q38,aii_q39,aii_q40,aii_q41,aii_q42,aii_q43,aii_q44,aii_q45,aii_q46,aii_q47,aii_q48,aii_q49,aii_q50,aii_q51,aii_q52,aii_q53,aii_q54,aii_q55,aii_q56,aii_q57,aii_q58,aii_q59,aii_rol,fh_aor,fh_cl,fh_ep,fh_feb,fh_fog,fh_ipolity2,fh_pair,fh_polity2,fh_ppp,fh_pr,fh_rol,fh_status,fhn_fotnloc,fhn_fotnota,fhn_fotnsc,fhn_fotnst,fhn_fotnvur,fhp_mcei5,fhp_mclr5,fhp_mcpp5,fhp_score5,fhp_status5,gcb_bed,gcb_bj,gcb_bland,gcb_bmed,gcb_bper,gcb_bpol,gcb_br,gcb_brcr,gcb_brnc,gcb_btax,gcb_butil,gcb_fcbad,gcb_fcwell,gcb_orcag,gcb_orcdis,gcb_pb,gcb_pcbmost,gcb_pcbsome,gcb_pcgomost,gcb_pcgosome,gcb_pcjmost,gcb_pcjsome,gcb_pclgcmost,gcb_pclgcsome,gcb_pclmost,gcb_pclsome,gcb_pcord,gcb_pcori,gcb_pcpmost,gcb_pcpolmost,gcb_pcpolsome,gcb_pcpsome,gcb_pcrmost,gcb_pcrsome,gcb_pctaxmost,gcb_pctaxsome,gcb_ped,gcb_pfcaag,gcb_pfcdis,gcb_pj,gcb_pmed,gcb_pmedia,gcb_pmil,gcb_pngo,gcb_poff,gcb_ppa,gcb_pparl,gcb_ppol,gcb_prel,gcb_sarcag,gcb_sarcdis,gcb_wsdag,gcb_wsddis,vdem_corr,vdem_delibdem,vdem_dl_delib,vdem_edcomp_thick,vdem_egal,vdem_egaldem,vdem_elvotbuy,vdem_exbribe,vdem_excrptps,vdem_execorr,vdem_exembez,vdem_exthftps,vdem_gcrrpt,vdem_gender,vdem_jucorrdc,vdem_libdem,vdem_liberal,vdem_mecorrpt,vdem_partip,vdem_partipdem,vdem_polyarchy,vdem_pubcorr,who_alcohol10,who_dwrur,who_dwtot,who_dwurb,who_halef,who_halem,who_halet,who_homf,who_homm,who_homt,who_infmortf,who_infmortm,who_infmortt,who_lef,who_lem,who_let,who_matmort,who_mrf,who_mrm,who_mrt,who_roadtrd,who_sanitrur,who_sanittot,who_saniturb,who_suif,who_suim,who_suit,wdi_gdpgr,wdi_gdppppcon2011,wdi_gini,pwt_rgdp,bti_eo,bti_eos,wdi_pop,wdi_pop14,wdi_pop1564,wdi_pop65,wdi_popden,wdi_popf,wdi_popgr,wdi_poprul,wdi_poprulgr,wdi_popurb,wdi_popurbagr,p_polity2
Afghanistan,4,AFG,700,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,2,6,2,3.0833333,2,3.0833333,6,6,2,3,NA,NA,NA,NA,NA,16,17,27,60,2,0.2260198444128036,0.6597077250480652,0.440449446439743,0.3048433065414429,0.6163793206214905,0.5351925492286682,NA,NA,NA,0.4580419659614563,0.2883720993995667,NA,NA,NA,NA,2.965500116348267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.870489358901978,NA,NA,3.698812961578369,2.858134984970093,2.450125217437744,2.311720609664917,2.893863201141357,3.268220186233521,2.966195821762085,3.146389722824097,2.878983974456787,2.310590744018555,NA,NA,NA,NA,0.9129999876022339,0.3089999854564667,0.7300000190734863,0.4379999935626984,0.2939999997615814,0.1509999930858612,0.2419999986886978,1.003000020980835,0.4120000004768372,0.7950000166893005,0.8560000061988831,-2.095999956130981,0.6660000085830688,0.4709999859333038,1.074000000953674,0.2300000041723251,0.5199999809265137,2.29200005531311,0.3199999928474426,0.1589999943971634,0.3529999852180481,0.9229999780654907,0.0199999995529652,NA,NA,NA,54.09999847412109,52.09999847412109,53,0.8999999761581421,13.5,7.400000095367432,47.70000076293945,54.5,51.20000076293945,64.5,61,62.70000076293945,673,216,272,245,15.10000038146973,NA,NA,NA,2.099999904632568,10.60000038146973,6.400000095367432,2.260314226150513,62168985600,NA,NA,3,4,35383128,44.27211380004883,53.20796585083008,2.519922494888306,54.19711303710938,48.59966659545898,2.778317451477051,74.9800033569336,2.489323616027832,25.02000045776367,3.649410247802734,-1
Albania,8,ALB,339,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,8,13,7,8.083333,9,8.083333,13,3,9,2,NA,NA,NA,NA,NA,17,15,19,51,2,NA,NA,NA,NA,NA,NA,25,72,34,NA,NA,0.3799999952316284,0.4000000059604645,0.6200000047683716,0.1299999952316284,2.677584409713745,0.3799999952316284,0.3300000131130219,0.449999988079071,0.3799999952316284,0.5600000023841858,0.2599999904632568,0.4199999868869781,0.4000000059604645,0.550000011920929,0.3100000023841858,NA,NA,0.3600000143051147,0.3600000143051147,0.4099999964237213,0.3400000035762787,0.2700000107288361,0.3600000143051147,0.4300000071525574,0.3700000047683716,3.977664947509766,0.5699999928474426,0.2199999988079071,4.321138381958008,4.290160655975342,2.938962459564209,2.854644775390625,2.248366117477417,3.511941909790039,4.033708095550537,3.873180866241455,3.715746402740479,1.739361643791199,0.4699999988079071,0.3100000023841858,0.5199999809265137,0.2099999934434891,0.7620000243186951,0.2419999986886978,0.3930000066757202,0.6110000014305115,0.6819999814033508,0.3740000128746033,1.409999966621399,0.7289999723434448,1.623000025749207,0.7770000100135803,1.328999996185303,-0.6980000138282776,1.174999952316284,0.8149999976158142,1.73800003528595,0.4300000071525574,0.8029999732971191,2.167999982833862,0.5479999780654907,0.3160000145435333,0.5080000162124634,0.6119999885559082,5.070000171661377,NA,70,NA,69.5999984741211,66.69999694824219,68.0999984741211,2.400000095367432,5.800000190734863,4.199999809265137,7.599999904632568,8.899999618530273,8.199999809265137,78.5999984741211,74.30000305175781,76.4000015258789,16,71,122,96,13.60000038146973,39,40,40,4.300000190734863,7,5.599999904632568,3.349999666213989,32663064576,NA,32278.289,6,6,2876101,18.38369560241699,68.66009521484375,12.95621109008789,104.9671859741211,49.05299758911133,-0.1598804146051407,41.57899856567383,-2.505938291549683,58.42100143432617,1.544014453887939,9
Algeria,12,DZA,615,12,39.285713,21.052631,41.666668,10,37.5,0,25,0,25,100,0,25,25,0,100,0,0,25,0,100,0,100,50,0,0,0,0,50,100,50,25,100,25,25,0,25,0,25,25,0,0,100,25,25,100,0,25,50,0,0,0,0,0,0,0,0,50,50,0,25,50,50,50,50,22.222221,5,5,4,7,3,4.25,7,4.25,4,6,5,3,NA,NA,NA,NA,NA,19,22,24,65,3,0.1861861795186996,0.3253731429576874,0.3764705955982208,0.161387637257576,0.2116104811429977,0.4005101919174194,0.119999997317791,0.8700000047683716,0.1400000005960464,0.3911439180374146,0.0973913073539734,0.6899999976158142,0.239999994635582,NA,NA,4.142857074737549,0.3700000047683716,0.5099999904632568,0.3899999856948853,0.5099999904632568,0.2800000011920929,0.5899999737739563,0.3899999856948853,0.5099999904632568,0.3899999856948853,0.5,0.1500000059604645,0.5099999904632568,0.3100000023841858,0.25,0.6299999952316284,0.5600000023841858,0.1700000017881393,0.6700000166893005,0.4000000059604645,0.4799999892711639,3.660493850708008,0.5,0.2700000107288361,4.058461666107178,3.585041046142578,3.18967342376709,3.325581312179565,3.145299196243286,3.768056869506836,3.863636255264282,3.758046627044678,3.831622123718262,1.771459221839905,NA,NA,NA,NA,0.6899999976158142,0.2310000061988831,0.5960000157356262,0.3799999952316284,0.7099999785423279,0.2739999890327454,1.279000043869019,1.146999955177307,1.353999972343445,0.6549999713897705,1.876000046730042,-0.7879999876022339,1.805999994277954,0.7910000085830688,1.753999948501587,0.1550000011920929,0.3610000014305115,2.595000028610229,0.2099999934434891,0.1129999980330467,0.3079999983310699,0.671999990940094,0.5600000023841858,NA,NA,NA,65.5999984741211,65.4000015258789,65.5,1.899999976158142,6.400000095367432,4.199999809265137,19.60000038146973,22.39999961853027,21,77.4000015258789,75.4000015258789,76.4000015258789,113,84,106,95,23.79999923706055,21,18,16,1.799999952316284,4.900000095367432,3.299999952316284,3.299999952316284,565284175872,NA,573072.31,5,6,40551404,29.13445281982422,64.8575668334961,6.007981300354004,17.02595710754395,49.49150466918945,2.051354646682739,28.54100036621094,-0.0668357014656067,71.45899963378906,2.910068035125732,2
Andorra,20,AND,232,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,12,15,12,10,15,NA,15,1,15,1,NA,NA,NA,NA,NA,8,2,5,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0600004196167,NA,91,NA,NA,NA,NA,NA,NA,NA,2.700000047683716,3.200000047683716,3,NA,NA,NA,NA,NA,NA,NA,7.599999904632568,100,100,100,NA,NA,NA,1.889124393463135,NA,NA,NA,NA,NA,77297,NA,NA,NA,164.4617004394531,NA,-0.9194697141647339,11.7519998550415,-0.0880281776189804,88.24800109863281,-1.029673933982849,NA
Angola,24,AGO,540,24,42.857143,28.947369,20.833334,25,25,100,0,0,25,100,100,0,0,0,100,100,0,0,0,100,0,100,0,100,25,0,0,0,100,0,0,100,0,0,0,50,0,0,0,0,0,100,0,25,0,100,0,0,0,0,0,0,100,0,100,0,25,25,0,0,25,100,50,25,36.111111,3,6,3,5,1,2.8333333,3,2.8333333,6,6,3,3,7,14,40,2,19,21,22,30,73,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8759999871253967,0.1340000033378601,0.3149999976158142,0.4239999949932098,0.257999986410141,0.1280000060796738,1.085999965667725,0.3510000109672546,0.5989999771118164,0.9309999942779541,0.3079999983310699,-1.935999989509583,1.25,0.746999979019165,1.605999946594238,0.1509999930858612,0.335999995470047,1.294000029563904,0.1449999958276749,0.090999998152256,0.3170000016689301,0.8949999809265137,4.699999809265137,NA,NA,NA,57.70000076293945,53.79999923706055,55.79999923706055,3.400000095367432,16.5,9.800000190734863,49.59999847412109,60.90000152587891,55.5,64.9000015258789,60.29999923706055,62.59999847412109,246,202,275,238,23.60000038146973,NA,NA,NA,4.599999904632568,14,8.899999618530273,-2.580097198486328,180507131904,NA,207358.42,4,4,28842484,47.05335235595703,50.68563079833984,2.261018514633179,23.13506317138672,50.53700637817383,3.378272771835327,35.85100173950195,1.436353921890259,64.14900207519531,4.480209827423096,-2
Antigua and Barbuda,28,ATG,58,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,12,15,8,8.5957413,13,NA,13,2,13,1,NA,NA,NA,NA,NA,11,8,15,34,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.449999809265137,NA,NA,NA,68.80000305175781,65.19999694824219,67,0.8999999761581421,2.700000047683716,1.799999952316284,5,5.900000095367432,5.400000095367432,77.5,72.5,75,43,104,137,120,7.900000095367432,NA,NA,NA,0.8999999761581421,0,0.5,5.589740753173828,2116837248,NA,2026.7476,NA,NA,94527,22.4073543548584,69.23207092285156,8.360573768615723,214.8340911865234,51.84299468994141,1.021843791007996,75.15399932861328,1.227930307388306,24.84600067138672,0.4010415375232697,NA
Azerbaijan,31,AZE,373,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,2,1,1.1666666,5,1.1666666,2,7,2,3,20,13,58,2,25,22,29,39,90,3,NA,NA,NA,NA,NA,NA,15,38,38,NA,NA,0.1400000005960464,0.25,0.4300000071525574,0.1800000071525574,2.781922578811646,0.1000000014901161,0.3499999940395355,0.119999997317791,0.4000000059604645,0.1599999964237213,0.3700000047683716,0.1400000005960464,0.3899999856948853,0.119999997317791,0.4000000059604645,NA,NA,0.0900000035762787,0.2099999934434891,0.3600000143051147,0.4600000083446503,0.0799999982118607,0.3499999940395355,0.1800000071525574,0.3499999940395355,2.78744649887085,0.3300000131130219,0.239999994635582,3.095907926559448,3.110398054122925,2.499229669570923,2.479532241821289,2.459935903549194,2.786567211151123,2.46039605140686,2.474209547042847,2.946501970291138,2.256222486495972,0.3799999952316284,0.1599999964237213,0.3799999952316284,0.2300000041723251,0.9599999785423279,0.0480000004172325,0.0799999982118607,0.296999990940094,0.239999994635582,0.0879999995231628,0.2709999978542328,0.1580000072717667,0.3449999988079071,0.9539999961853027,0.3100000023841858,-2.585000038146973,0.8690000176429749,0.5770000219345093,0.5770000219345093,0.0599999986588955,0.1449999958276749,0.6940000057220459,0.1679999977350235,0.0670000016689301,0.1969999969005585,0.9509999752044678,0.3899999856948853,NA,73,NA,66.9000015258789,62.79999923706055,64.9000015258789,1,3.700000047683716,2.400000095367432,19.60000038146973,23.89999961853027,21.79999923706055,75.69999694824219,70.30000305175781,73.0999984741211,26,76,160,118,8.699999809265137,NA,NA,92,1,4.300000190734863,2.599999904632568,-3.064199924468994,157412753408,NA,162647.19,6,5,9757812,23.13733673095703,71.02713775634766,5.835522651672363,118.0332870483398,50.19607162475586,1.117857217788696,44.97900009155273,0.4376193583011627,55.02099990844727,1.677401542663574,-7
Argentina,32,ARG,160,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,11,14,8,8.916666,14,8.916666,14,2,10,1,7,6,27,1,14,15,13,18,46,2,0.0203045681118965,0.0641025677323341,0.0541871935129166,0.0646900236606598,0.0710526332259178,0.1581196635961533,0.1299999952316284,0.8100000023841858,0.1599999964237213,0.0477326959371567,0.0554722622036934,0.4199999868869781,0.4799999892711639,0.7099999785423279,0.119999997317791,3.518210172653198,0.3775856494903564,0.5507033467292786,0.276761531829834,0.648324191570282,0.3867051899433136,0.5479417443275452,0.3637679815292358,0.5486974716186523,0.4593603014945984,0.4847573041915894,0.1400000005960464,0.4099999964237213,0.4020973443984985,0.4595509171485901,0.502014696598053,0.5306553840637207,0.1815924346446991,0.6678162813186646,0.2844836413860321,0.5618789792060852,2.564729928970337,0.6499999761581421,0.1599999964237213,3.881578922271729,2.711361408233643,3.323139667510986,2.86687970161438,2.540425539016724,4.243927001953125,4.264285564422607,4.101625919342041,4.034205436706543,2.913133382797241,0.5099999904632568,0.2700000107288361,0.6000000238418579,0.1599999964237213,0.460999995470047,0.593999981880188,0.7559999823570251,0.8399999737739563,0.7609999775886536,0.6060000061988831,1.965000033378601,1.779000043869019,2.068000078201294,0.4300000071525574,2.729000091552734,0.5429999828338623,2.388000011444092,0.878000020980835,1.942000031471252,0.6700000166893005,0.843999981880188,2.954999923706055,0.6299999952316284,0.5370000004768372,0.781000018119812,0.363999992609024,8.420000076293945,NA,NA,NA,70.69999694824219,65.9000015258789,68.4000015258789,1.899999976158142,10.69999980926514,6.199999809265137,8.800000190734863,10.60000038146973,9.699999809265137,80.30000305175781,73.5,76.9000015258789,40,80,143,111,14,NA,NA,NA,3.5,15,9.100000381469727,-2.080327749252319,812746407936,42,707218.88,7,5,43590368,25.0794563293457,64.0605697631836,10.85997772216797,15.92813491821289,51.2609748840332,1.057181596755981,8.373000144958496,-0.4128926396369934,91.62699890136719,1.192602872848511,9
Australia,36,AUS,900,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,12,16,12,10,15,10,16,1,15,1,6,2,21,1,13,7,6,9,22,1,0.011331444606185,0.0388349518179893,0.029166666790843,0.0136986300349236,0.0138248847797513,0.0181159414350986,0.0299999993294477,0.8799999952316284,0.0399999991059303,0.0122324163094163,0.0097919218242168,0.4099999964237213,0.449999988079071,0.9100000262260437,0.0599999986588955,3.375912427902222,0.2000000029802322,0.7699999809265137,0.119999997317791,0.8399999737739563,0.0399999991059303,0.9200000166893005,0.1700000017881393,0.7900000214576721,0.119999997317791,0.8100000023841858,0.0500000007450581,0.3400000035762787,0.1500000059604645,0.0500000007450581,0.9300000071525574,0.7900000214576721,0.1700000017881393,0.7900000214576721,0.0500000007450581,0.8799999952316284,2.584259271621704,0.800000011920929,0.1800000071525574,2.775415897369385,2.518963813781738,3.617250680923462,2.717998027801514,2.825884580612183,3.144567251205444,3.586897134780884,3.110903978347778,3.02538537979126,3.226851940155029,0.75,0.2199999988079071,0.8700000047683716,0.1000000014901161,0.0370000004768372,0.8230000138282776,0.9539999961853027,0.9049999713897705,0.8489999771118164,0.7630000114440918,3.792999982833862,3.437000036239624,3.398999929428101,0.0320000015199184,3.901999950408936,2.615000009536743,3.07699990272522,0.9629999995231628,3.505000114440918,0.8349999785423279,0.9679999947547913,3.813999891281128,0.6359999775886536,0.6190000176429749,0.8769999742507935,0.0280000008642673,9.710000038146973,NA,NA,99,74.0999984741211,71.80000305175781,73,0.800000011920929,1.5,1.100000023841858,2.900000095367432,3.400000095367432,3.200000047683716,84.80000305175781,81,82.9000015258789,6,45,77,61,5.599999904632568,NA,75,NA,6,17.39999961853027,11.69999980926514,2.846755027770996,1079051091968,35.79999923706055,1180879.1,NA,NA,24190908,18.95230865478516,65.90657043457031,15.1411190032959,3.144935607910156,50.18947219848633,1.561940550804138,14.19999980926514,0.8671861290931702,85.80000305175781,1.677390098571777,10
Austria,40,AUT,305,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,12,16,10,10,15,10,15,1,15,1,NA,NA,NA,NA,NA,6,8,8,22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046000000089407,0.7609999775886536,0.9160000085830688,0.8629999756813049,0.9020000100135803,0.7480000257492065,3.667999982833862,3.420000076293945,2.96399998664856,0.0489999987185001,3.757999897003174,2.717999935150146,3.180000066757202,0.9549999833106995,3.553999900817871,0.7570000290870667,0.9179999828338623,3.721999883651733,0.7110000252723694,0.6100000143051147,0.8360000252723694,0.0540000014007092,11.39999961853027,NA,99,NA,73.9000015258789,70.9000015258789,72.4000015258789,0.5,0.6000000238418579,0.5,2.700000047683716,3.299999952316284,3,84.19999694824219,79.4000015258789,81.9000015258789,5,44,80,62,5.199999809265137,92,97,100,5.699999809265137,17.5,11.39999961853027,2.039575099945068,390272679936,30.5,371151.94,NA,NA,8736668,14.17065715789795,66.920196533203125,18.90914726257324,105.8694915771484,50.97809600830078,1.081396341323853,42.09500122070313,0.6310485601425171,57.90499877929688,1.410061836242676,10
