title,period,obs,link
Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Professional and Business Services: Administrative and Waste Management Services: Administrative and Support Services for Alaska,1997 to 2017 (Nov 7),"Index 2012=100, Annual, Not Seasonally Adjusted",https://fred.stlouisfed.org/series/AKADMINSUPQGSP
Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Nondurable Goods Manufacturing: Apparel and Leather and Allied Products Manufacturing for Alaska,1997 to 2017 (Nov 7),"Index 2012=100, Annual, Not Seasonally Adjusted",https://fred.stlouisfed.org/series/AKAPPLEATHMANQGSP
"State Government Tax Collections, Motor Vehicle Licenses in Alabama",1951 to 2019 (May 1),"Thousands of Dollars, Annual, Not Seasonally Adjusted",https://fred.stlouisfed.org/series/ALMOTOLICTAX
"Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Educational Services, Health Care, and Social Assistance: Health Care and Social Assistance: Ambulatory Health Care Services for Arkansas",1997 to 2017 (Nov 7),"Index 2012=100, Annual, Not Seasonally Adjusted",https://fred.stlouisfed.org/series/ARAMBHCQGSP
"Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Arts, Entertainment, Recreation, Accommodation, and Food Services: Arts, Entertainment, and Recreation: Amusements, Gambling, and Recreation Industries for Arkansas",1997 to 2017 (Nov 7),"Index 2012=100, Annual, Not Seasonally Adjusted",https://fred.stlouisfed.org/series/ARAMUSEQGSP
"State Government Tax Collections, Amusements - Selective Sales Taxes in Arkansas",1951 to 2019 (May 1),"Thousands of Dollars, Annual, Not Seasonally Adjusted",https://fred.stlouisfed.org/series/ARAMUSTAX
Real Gross Domestic Product by Industry: Private Industries: Professional and Business Services: Administrative and Waste Management Services: Administrative and Support Services for Arizona,1997 to 2017 (Nov 7),"Millions of Chained 2012 Dollars, Annual, Not Seasonally Adjusted",https://fred.stlouisfed.org/series/AZADMINSUPRGSP
Child Tax Exemptions for New Hampshire,1989 to 2017 (Dec 13),"Number of Exemptions, Annual, Not Seasonally Adjusted",https://fred.stlouisfed.org/series/CHEXMNH33A647NCEN
Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Manufacturing: Durable Goods Manufacturing for Colorado,1997 to 2019 (Apr 7),"Index 2012=100, Annual, Not Seasonally Adjusted",https://fred.stlouisfed.org/series/CODURMANQGSP
"Gross Domestic Product by Industry: Private Industries: Mining: Mining, Except Oil and Gas for Colorado",1997 to 2017 (Nov 7),"Millions of Dollars, Annual, Not Seasonally Adjusted",https://fred.stlouisfed.org/series/COMINEXOILGASNGSP
Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Nondurable Goods Manufacturing: Apparel and Leather and Allied Products Manufacturing for Connecticut,1997 to 2017 (Nov 7),"Index 2012=100, Annual, Not Seasonally Adjusted",https://fred.stlouisfed.org/series/CTAPPLEATHMANQGSP
Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Manufacturing: Durable Goods Manufacturing: Computer and Electronic Products Manufacturing for Connecticut,1997 to 2017 (Nov 7),"Index 2012=100, Annual, Not Seasonally Adjusted",https://fred.stlouisfed.org/series/CTCPUELCPMANQGSP
